库位编号,原材料编号,箱子类型,列(x),层(z),取货时间(s),送货时间(s),单次出库时间(s)
01_01_01_01,B6T0000001464,E1,1,1,0.26666666666666666,0.34632683658170915,6.612993503248376
01_01_01_02,B6T0000001464,E1,1,1,0.26666666666666666,0.34632683658170915,6.612993503248376
02_01_01_01,B6T0000001464,E1,1,1,0.26666666666666666,0.34632683658170915,6.612993503248376
02_01_01_02,B6T0000001464,E1,1,1,0.26666666666666666,0.34632683658170915,6.612993503248376
03_01_01_01,B6T0000001464,E1,1,1,0.26666666666666666,0.34632683658170915,6.612993503248376
03_01_01_02,B6T0000001464,E1,1,1,0.26666666666666666,0.34632683658170915,6.612993503248376
04_01_01_01,B6T0000001464,E1,1,1,0.26666666666666666,0.34632683658170915,6.612993503248376
04_01_01_02,B6T0000001464,E1,1,1,0.26666666666666666,0.34632683658170915,6.612993503248376
05_01_01_01,B6T0000001464,E1,1,1,0.26666666666666666,0.34632683658170915,6.612993503248376
05_01_01_02,B6T0000001464,E1,1,1,0.26666666666666666,0.34632683658170915,6.612993503248376
06_01_01_01,B6T0000001464,E1,1,1,0.26666666666666666,0.34632683658170915,6.612993503248376
07_01_01_01,B6T0000001954,E1,1,1,0.26666666666666666,0.34632683658170915,6.612993503248376
07_01_01_02,B6T0000001954,E1,1,1,0.26666666666666666,0.34632683658170915,6.612993503248376
08_01_01_01,B6T0000001954,E1,1,1,0.26666666666666666,0.34632683658170915,6.612993503248376
08_01_01_02,B6T0000001954,E1,1,1,0.26666666666666666,0.34632683658170915,6.612993503248376
09_01_01_01,B6T0000001954,E1,1,1,0.26666666666666666,0.34632683658170915,6.612993503248376
09_01_01_02,B6T0000001954,E1,1,1,0.26666666666666666,0.34632683658170915,6.612993503248376
10_01_01_01,B6T0000001954,E1,1,1,0.26666666666666666,0.34632683658170915,6.612993503248376
10_01_01_02,B6T0000001954,E1,1,1,0.26666666666666666,0.34632683658170915,6.612993503248376
11_01_01_01,B6T0000001954,E1,1,1,0.26666666666666666,0.34632683658170915,6.612993503248376
11_01_01_02,B6T0000001954,E1,1,1,0.26666666666666666,0.34632683658170915,6.612993503248376
12_01_01_01,B6T0000001954,E1,1,1,0.26666666666666666,0.34632683658170915,6.612993503248376
12_01_01_02,B6T0000001954,E1,1,1,0.26666666666666666,0.34632683658170915,6.612993503248376
