货架编号,货架(y),层(z),列(x),深浅位,原材料编号,箱子类型,消耗占比,距离(x+z),物理距离(mm),库位编号
01,1,1,1,浅位,B6T0000001464,E1,5.1073,2,500.0,01_01_01_01
01,1,1,1,深位,B6T0000001464,E1,5.1073,2,500.0,01_01_01_02
02,2,1,1,浅位,B6T0000001464,E1,5.1073,2,500.0,02_01_01_01
02,2,1,1,深位,B6T0000001464,E1,5.1073,2,500.0,02_01_01_02
03,3,1,1,浅位,B6T0000001464,E1,5.1073,2,500.0,03_01_01_01
03,3,1,1,深位,B6T0000001464,E1,5.1073,2,500.0,03_01_01_02
04,4,1,1,浅位,B6T0000001464,E1,5.1073,2,500.0,04_01_01_01
04,4,1,1,深位,B6T0000001464,E1,5.1073,2,500.0,04_01_01_02
05,5,1,1,浅位,B6T0000001464,E1,5.1073,2,500.0,05_01_01_01
05,5,1,1,深位,B6T0000001464,E1,5.1073,2,500.0,05_01_01_02
06,6,1,1,浅位,B6T0000001464,E1,5.1073,2,500.0,06_01_01_01
07,7,1,1,浅位,B6T0000001954,E1,2.1536,2,500.0,07_01_01_01
07,7,1,1,深位,B6T0000001954,E1,2.1536,2,500.0,07_01_01_02
08,8,1,1,浅位,B6T0000001954,E1,2.1536,2,500.0,08_01_01_01
08,8,1,1,深位,B6T0000001954,E1,2.1536,2,500.0,08_01_01_02
09,9,1,1,浅位,B6T0000001954,E1,2.1536,2,500.0,09_01_01_01
09,9,1,1,深位,B6T0000001954,E1,2.1536,2,500.0,09_01_01_02
10,10,1,1,浅位,B6T0000001954,E1,2.1536,2,500.0,10_01_01_01
10,10,1,1,深位,B6T0000001954,E1,2.1536,2,500.0,10_01_01_02
11,11,1,1,浅位,B6T0000001954,E1,2.1536,2,500.0,11_01_01_01
11,11,1,1,深位,B6T0000001954,E1,2.1536,2,500.0,11_01_01_02
12,12,1,1,浅位,B6T0000001954,E1,2.1536,2,500.0,12_01_01_01
12,12,1,1,深位,B6T0000001954,E1,2.1536,2,500.0,12_01_01_02
13,13,1,1,浅位,B6T0000001954,E1,2.1536,2,500.0,13_01_01_01
13,13,1,1,深位,B6T0000001954,E1,2.1536,2,500.0,13_01_01_02
14,14,1,1,浅位,B6T0000001954,E1,2.1536,2,500.0,14_01_01_01
14,14,1,1,深位,B6T0000001954,E1,2.1536,2,500.0,14_01_01_02
01,1,2,1,浅位,B6T0000001954,E1,2.1536,3,700.0,01_02_01_01
01,1,2,1,深位,B6T0000001954,E1,2.1536,3,700.0,01_02_01_02
02,2,2,1,浅位,B6T0000001954,E1,2.1536,3,700.0,02_02_01_01
03,3,2,1,浅位,B6T0000001727,E1,1.2092,3,700.0,03_02_01_01
03,3,2,1,深位,B6T0000001727,E1,1.2092,3,700.0,03_02_01_02
04,4,2,1,浅位,B6T0000001727,E1,1.2092,3,700.0,04_02_01_01
04,4,2,1,深位,B6T0000001727,E1,1.2092,3,700.0,04_02_01_02
05,5,2,1,浅位,B6T0000001727,E1,1.2092,3,700.0,05_02_01_01
05,5,2,1,深位,B6T0000001727,E1,1.2092,3,700.0,05_02_01_02
06,6,2,1,浅位,B6T0000001727,E1,1.2092,3,700.0,06_02_01_01
06,6,2,1,深位,B6T0000001727,E1,1.2092,3,700.0,06_02_01_02
07,7,2,1,浅位,B6T0000001727,E1,1.2092,3,700.0,07_02_01_01
