货架编号,货架(y),分配箱数,E1箱,E3箱,E4箱,平均物理距离
01,1,4647,875,3090,682,17616.698945556273
02,2,4647,873,3086,688,17633.677641489132
03,3,4650,884,3083,683,17615.602150537634
04,4,4644,880,3082,682,17605.555555555555
05,5,4642,874,3083,685,17614.68117190866
06,6,4642,873,3089,680,17613.33476949591
07,7,4646,881,3079,686,17602.00172191132
08,8,4644,871,3087,686,17626.937984496122
09,9,4643,874,3085,684,17628.19297867758
10,10,4644,883,3077,684,17599.418604651164
11,11,4638,871,3082,685,17631.61923242777
12,12,4635,875,3078,682,17619.568500539375
13,13,4628,863,3083,682,17625.15125324114
14,14,4650,882,3087,681,17593.451612903227
