入库批次,原材料编号,箱子类型,堆垛机编号,货架号,层(z),列(x),深浅位,到达时刻(s),开始时刻(s),完成时刻(s),流动时间(s),是否复合
IN0653,B6T0000001972,E1,1,2,2,1,深位,3360.0,3436.0,3447.0,87.0,是
IN0653,B6T0000001972,E1,1,2,1,4,深位,3360.0,3578.0,3593.0,233.0,是
IN0653,B6T0000001972,E1,1,2,7,2,深位,3360.0,3720.0,3743.0,383.0,否
IN0192,B6T0000000557,E3,1,2,11,6,深位,9960.0,9960.0,10004.0,44.0,否
IN0192,B6T0000000557,E3,1,2,12,7,浅位,9960.0,10042.0,10092.0,132.0,否
IN0192,B6T0000000557,E3,1,2,12,7,深位,9960.0,10136.0,10186.0,226.0,否
IN0241,B6T0000000704,E3,1,2,15,5,深位,12000.0,12000.0,12058.0,58.0,否
IN0241,B6T0000000704,E3,1,1,10,23,深位,12000.0,12110.0,12184.0,184.0,否
IN0302,B6T0000000907,E3,1,2,13,19,深位,15960.0,15960.0,16038.0,78.0,否
IN0302,B6T0000000907,E3,1,1,13,20,深位,15960.0,16110.0,16190.0,230.0,否
IN0166,B6T0000000487,E3,1,1,13,8,浅位,28980.0,28980.0,29036.0,56.0,否
IN0575,B6T0000001707,E1,1,1,7,3,深位,29040.0,29086.0,29111.0,71.0,否
IN0575,B6T0000001707,E1,1,1,8,4,深位,29040.0,29130.0,29159.0,119.0,否
IN0575,B6T0000001707,E1,1,2,4,8,深位,29040.0,29182.0,29211.0,171.0,否
IN0166,B6T0000000487,E3,1,1,13,8,深位,28980.0,29234.0,29290.0,310.0,否
IN0390,B6T0000001187,E3,1,2,13,8,浅位,29160.0,29340.0,29396.0,236.0,否
IN0390,B6T0000001187,E3,1,2,13,8,深位,29160.0,29446.0,29502.0,342.0,否
IN0390,B6T0000001187,E3,1,1,16,3,浅位,29160.0,29552.0,29610.0,450.0,否
IN0070,B6T0000000198,E4,1,1,43,6,浅位,29340.0,29662.0,29834.5,494.5,否
IN0070,B6T0000000198,E4,1,1,43,6,深位,29340.0,30001.0,30173.5,833.5,否
IN0070,B6T0000000198,E4,1,1,43,7,深位,29340.0,30340.0,30514.5,1174.5,否
IN0070,B6T0000000198,E4,1,1,45,3,浅位,29340.0,30683.0,30859.5,1519.5,否
IN0070,B6T0000000198,E4,1,1,45,3,深位,29340.0,31030.0,31206.5,1866.5,否
IN0070,B6T0000000198,E4,1,2,45,3,浅位,29340.0,31377.0,31553.5,2213.5,否
IN0070,B6T0000000198,E4,1,2,45,3,深位,29340.0,31724.0,31900.5,2560.5,是
IN0070,B6T0000000198,E4,1,1,46,2,浅位,29340.0,32087.0,32266.5,2926.5,是
IN0070,B6T0000000198,E4,1,1,46,2,深位,29340.0,32446.0,32625.5,3285.5,是
IN0070,B6T0000000198,E4,1,2,46,2,浅位,29340.0,32805.0,32984.5,3644.5,是
IN0260,B6T0000000765,E3,1,2,22,6,深位,32820.0,33164.0,33252.0,432.0,否
IN0260,B6T0000000765,E3,1,1,9,33,浅位,32820.0,33334.0,33424.0,604.0,否
IN0260,B6T0000000765,E3,1,1,9,33,深位,32820.0,33508.0,33598.0,778.0,否
IN0260,B6T0000000765,E3,1,2,9,33,浅位,32820.0,33682.0,33772.0,952.0,是
IN0260,B6T0000000765,E3,1,2,9,33,深位,32820.0,33890.0,33980.0,1160.0,是
IN0260,B6T0000000765,E3,1,1,15,23,深位,32820.0,34098.0,34192.0,1372.0,否
IN0179,B6T0000000514,E3,1,2,17,21,深位,33000.0,34280.0,34378.0,1378.0,否
IN0179,B6T0000000514,E3,1,1,13,35,深位,33000.0,34470.0,34580.0,1580.0,否
IN0179,B6T0000000514,E3,1,1,9,45,浅位,33000.0,34684.0,34798.0,1798.0,否
IN0353,B6T0000001093,E3,1,1,9,45,深位,33060.0,34906.0,35020.0,1960.0,否
IN0353,B6T0000001093,E3,1,2,9,45,浅位,33060.0,35128.0,35242.0,2182.0,否
IN0353,B6T0000001093,E3,1,2,22,19,深位,33060.0,35350.0,35464.0,2404.0,否
IN0353,B6T0000001093,E3,1,1,17,32,浅位,33060.0,35572.0,35692.0,2632.0,否
IN0270,B6T0000000816,E3,1,2,21,24,深位,33480.0,35806.0,35926.0,2446.0,否
IN0270,B6T0000000816,E3,1,1,11,45,深位,33480.0,36040.0,36162.0,2682.0,否
IN0270,B6T0000000816,E3,1,2,27,13,深位,33480.0,36278.0,36400.0,2920.0,否
IN0270,B6T0000000816,E3,1,1,23,22,深位,33480.0,36516.0,36640.0,3160.0,否
IN0270,B6T0000000816,E3,1,2,25,21,深位,33480.0,36758.0,36888.0,3408.0,否
IN0070,B6T0000000198,E4,1,2,46,2,深位,29340.0,37012.0,37191.5,7851.5,否
IN0070,B6T0000000198,E4,1,1,43,10,浅位,29340.0,37365.0,37545.5,8205.5,是
IN0070,B6T0000000198,E4,1,1,43,10,深位,29340.0,37894.0,38074.5,8734.5,是
IN0070,B6T0000000198,E4,1,2,43,10,浅位,29340.0,38423.0,38603.5,9263.5,否
IN0070,B6T0000000198,E4,1,2,43,10,深位,29340.0,38778.0,38958.5,9618.5,否
IN0070,B6T0000000198,E4,1,2,48,2,深位,29340.0,39133.0,39322.5,9982.5,否
IN0070,B6T0000000198,E4,1,2,44,14,深位,29340.0,39506.0,39699.5,10359.5,否
IN0070,B6T0000000198,E4,1,1,44,18,深位,29340.0,39887.0,40088.5,10748.5,否
IN0070,B6T0000000198,E4,1,1,50,10,深位,29340.0,40284.0,40499.5,11159.5,否
IN0357,B6T0000001102,E3,1,2,13,20,浅位,44160.0,44359.0,44439.0,279.0,是
IN0357,B6T0000001102,E3,1,2,13,20,深位,44160.0,44780.0,44860.0,700.0,是
IN0357,B6T0000001102,E3,1,2,11,52,浅位,44160.0,45201.0,45337.0,1177.0,是
IN0357,B6T0000001102,E3,1,2,11,52,深位,44160.0,45750.0,45886.0,1726.0,否
IN0357,B6T0000001102,E3,1,1,14,50,深位,44160.0,46016.0,46160.0,2000.0,否
IN0357,B6T0000001102,E3,1,1,9,64,浅位,44160.0,46298.0,46450.0,2290.0,否
IN0357,B6T0000001102,E3,1,1,9,64,深位,44160.0,46596.0,46748.0,2588.0,是
IN0357,B6T0000001102,E3,1,1,9,10,浅位,44160.0,46900.0,46944.0,2784.0,是
IN0341,B6T0000001046,E3,1,1,9,10,深位,46980.0,46988.0,47032.0,52.0,否
IN0341,B6T0000001046,E3,1,2,9,64,浅位,46980.0,47070.0,47222.0,242.0,否
IN0357,B6T0000001102,E3,1,2,9,64,深位,44160.0,47368.0,47520.0,3360.0,否
IN0357,B6T0000001102,E3,1,2,12,58,深位,44160.0,47666.0,47818.0,3658.0,否
IN0357,B6T0000001102,E3,1,1,9,65,浅位,44160.0,47964.0,48118.0,3958.0,否
IN0357,B6T0000001102,E3,1,1,9,65,深位,44160.0,48266.0,48420.0,4260.0,否
