订单号,原材料编号,箱子类型,堆垛机编号,货架号,层(z),列(x),深浅位,到达时刻(s),开始时刻(s),完成时刻(s),操作时间(s),等待时间(s),流动时间(s),是否复合
3639,B6T0000001187,E3,1,1,31,37,浅位,240.0,240.0,606.0,366.00000000000006,0.0,366.0,否
3638,B6T0000001187,E3,1,1,31,37,深位,240.0,606.0,972.0,366.00000000000006,366.0,732.0,否
3036,B6T0000001703,E1,1,1,2,31,浅位,3300.0,3300.0,3436.0,136.0,0.0,136.0,否
3035,B6T0000001703,E1,1,1,2,31,深位,3300.0,3447.0,3578.0,131.0,147.0,278.0,是
3034,B6T0000001703,E1,1,2,2,31,浅位,3300.0,3593.0,3720.0,127.0,293.0,420.0,是
2525,B6T0000001776,E1,1,1,7,17,浅位,7500.0,7884.0,7984.0,100.0,384.0,484.0,否
483,B6T0000001101,E3,1,2,12,7,浅位,9300.0,9300.0,9394.0,94.0,0.0,94.0,否
484,B6T0000001101,E3,1,2,12,7,深位,9300.0,9394.0,9488.0,94.0,94.0,188.0,否
2612,B6T0000000877,E3,1,1,9,33,浅位,13860.0,13860.0,14034.0,174.0,0.0,174.0,否
2613,B6T0000000877,E3,1,1,9,33,深位,13860.0,14034.0,14208.0,174.0,174.0,348.0,否
2614,B6T0000000877,E3,1,2,9,33,浅位,13860.0,14208.0,14382.0,174.0,348.0,522.0,否
2615,B6T0000000877,E3,1,2,9,33,深位,13860.0,14382.0,14556.0,174.0,522.0,696.0,否
3220,B6T0000001266,E3,1,1,9,45,浅位,15180.0,15180.0,15402.0,222.0,0.0,222.0,否
3222,B6T0000001266,E3,1,1,9,45,深位,15180.0,15402.0,15624.0,222.0,222.0,444.0,否
3221,B6T0000001266,E3,1,2,9,45,浅位,15180.0,15624.0,15846.0,222.0,444.0,666.0,否
3390,B6T0000001652,E1,1,1,1,44,浅位,16620.0,16620.0,16804.0,184.0,0.0,184.0,否
3391,B6T0000001652,E1,1,1,1,44,深位,16620.0,16804.0,16988.0,184.0,184.0,368.0,否
1507,B6T0000000118,E4,1,1,43,10,浅位,17760.0,17760.0,18115.0,355.00000000000017,0.0,355.0,否
1506,B6T0000000118,E4,1,1,43,10,深位,17760.0,18115.0,18470.0,355.00000000000017,355.0,710.0,否
1509,B6T0000000118,E4,1,2,43,10,浅位,17760.0,18470.0,18825.0,355.00000000000017,710.0,1065.0,否
1510,B6T0000000118,E4,1,2,43,10,深位,17760.0,18825.0,19180.0,355.00000000000017,1065.0,1420.0,否
587,B6T0000001238,E3,1,1,16,3,浅位,19080.0,21438.0,21548.0,109.99999999999999,2358.0,2468.0,否
708,B6T0000000313,E4,1,1,45,3,浅位,19560.0,22376.0,22723.0,347.00000000000017,2816.0,3163.0,否
709,B6T0000000313,E4,1,1,45,3,深位,19560.0,22723.0,23070.0,347.00000000000017,3163.0,3510.0,否
710,B6T0000000313,E4,1,2,45,3,浅位,19560.0,23070.0,23417.0,347.00000000000017,3510.0,3857.0,否
712,B6T0000000313,E4,1,2,45,3,深位,19560.0,23417.0,23764.0,347.00000000000017,3857.0,4204.0,否
