堆垛机编号,巷道号,任务类型,订单号,原材料编号,箱子类型,到达时刻(s),开始时刻(s),完成时刻(s),操作时间(s),等待时间(s),流动时间(s),货架号,层(z),列(x),深浅位,是否复合
1,1,outbound,3639,B6T0000001187,E3,240.0,240.0,606.0,366.00000000000006,0.0,366.0,1,31,37,浅位,否
1,1,outbound,3638,B6T0000001187,E3,240.0,606.0,972.0,366.00000000000006,366.0,732.0,1,31,37,深位,否
1,1,outbound,3036,B6T0000001703,E1,3300.0,3300.0,3436.0,136.0,0.0,136.0,1,2,31,浅位,否
1,1,outbound,3035,B6T0000001703,E1,3300.0,3447.0,3578.0,131.0,147.0,278.0,1,2,31,深位,是
1,1,inbound,IN0653,B6T0000001972,E1,3360.0,3436.0,3447.0,11.0,76.0,87.0,2,2,1,深位,是
1,1,outbound,3034,B6T0000001703,E1,3300.0,3593.0,3720.0,127.0,293.0,420.0,2,2,31,浅位,是
1,1,inbound,IN0653,B6T0000001972,E1,3360.0,3578.0,3593.0,15.0,218.0,233.0,2,1,4,深位,是
1,1,inbound,IN0653,B6T0000001972,E1,3360.0,3720.0,3743.0,23.0,360.0,383.0,2,7,2,深位,否
1,1,outbound,2525,B6T0000001776,E1,7500.0,7884.0,7984.0,100.0,384.0,484.0,1,7,17,浅位,否
1,1,outbound,483,B6T0000001101,E3,9300.0,9300.0,9394.0,94.0,0.0,94.0,2,12,7,浅位,否
1,1,outbound,484,B6T0000001101,E3,9300.0,9394.0,9488.0,94.0,94.0,188.0,2,12,7,深位,否
1,1,inbound,IN0192,B6T0000000557,E3,9960.0,9960.0,10004.0,44.0,0.0,44.0,2,11,6,深位,否
1,1,inbound,IN0192,B6T0000000557,E3,9960.0,10042.0,10092.0,50.0,82.0,132.0,2,12,7,浅位,否
1,1,inbound,IN0192,B6T0000000557,E3,9960.0,10136.0,10186.0,50.0,176.0,226.0,2,12,7,深位,否
1,1,inbound,IN0241,B6T0000000704,E3,12000.0,12000.0,12058.0,57.99999999999999,0.0,58.0,2,15,5,深位,否
1,1,inbound,IN0241,B6T0000000704,E3,12000.0,12110.0,12184.0,74.0,110.0,184.0,1,10,23,深位,否
1,1,outbound,2612,B6T0000000877,E3,13860.0,13860.0,14034.0,174.0,0.0,174.0,1,9,33,浅位,否
1,1,outbound,2613,B6T0000000877,E3,13860.0,14034.0,14208.0,174.0,174.0,348.0,1,9,33,深位,否
1,1,outbound,2614,B6T0000000877,E3,13860.0,14208.0,14382.0,174.0,348.0,522.0,2,9,33,浅位,否
1,1,outbound,2615,B6T0000000877,E3,13860.0,14382.0,14556.0,174.0,522.0,696.0,2,9,33,深位,否
1,1,outbound,3220,B6T0000001266,E3,15180.0,15180.0,15402.0,222.0,0.0,222.0,1,9,45,浅位,否
1,1,outbound,3222,B6T0000001266,E3,15180.0,15402.0,15624.0,222.0,222.0,444.0,1,9,45,深位,否
1,1,outbound,3221,B6T0000001266,E3,15180.0,15624.0,15846.0,222.0,444.0,666.0,2,9,45,浅位,否
1,1,inbound,IN0302,B6T0000000907,E3,15960.0,15960.0,16038.0,78.0,0.0,78.0,2,13,19,深位,否
1,1,inbound,IN0302,B6T0000000907,E3,15960.0,16110.0,16190.0,80.0,150.0,230.0,1,13,20,深位,否
1,1,outbound,3390,B6T0000001652,E1,16620.0,16620.0,16804.0,184.0,0.0,184.0,1,1,44,浅位,否
1,1,outbound,3391,B6T0000001652,E1,16620.0,16804.0,16988.0,184.0,184.0,368.0,1,1,44,深位,否
1,1,outbound,1507,B6T0000000118,E4,17760.0,17760.0,18115.0,355.00000000000017,0.0,355.0,1,43,10,浅位,否
1,1,outbound,1506,B6T0000000118,E4,17760.0,18115.0,18470.0,355.00000000000017,355.0,710.0,1,43,10,深位,否
1,1,outbound,1509,B6T0000000118,E4,17760.0,18470.0,18825.0,355.00000000000017,710.0,1065.0,2,43,10,浅位,否
1,1,outbound,1510,B6T0000000118,E4,17760.0,18825.0,19180.0,355.00000000000017,1065.0,1420.0,2,43,10,深位,否
1,1,outbound,587,B6T0000001238,E3,19080.0,21438.0,21548.0,109.99999999999999,2358.0,2468.0,1,16,3,浅位,否
1,1,outbound,708,B6T0000000313,E4,19560.0,22376.0,22723.0,347.00000000000017,2816.0,3163.0,1,45,3,浅位,否
1,1,outbound,709,B6T0000000313,E4,19560.0,22723.0,23070.0,347.00000000000017,3163.0,3510.0,1,45,3,深位,否
