订单号,原材料号,到达时间(s),消耗占比,列坐标,层坐标,货架号,巷道号,单程时间(s),总运输时间(s),开始时刻(s),完成时刻(s),流动时间(s)
3639,B6T0000001187,0.0,0.011,37,31,1,1,180.00000000000003,366.00000000000006,180.00000000000003,366.00000000000006,366.00000000000006
3638,B6T0000001187,0.0,0.011,37,31,1,1,180.00000000000003,366.00000000000006,546.0000000000001,732.0000000000001,732.0000000000001
2525,B6T0000001776,7260.0,0.0273,17,7,1,1,47.0,100.0,7307.0,7360.0,100.0
483,B6T0000001101,9060.0,0.1876,7,12,2,1,44.0,94.0,9104.0,9154.0,94.0
484,B6T0000001101,9060.0,0.1876,7,12,2,1,44.0,94.0,9198.0,9248.0,188.0
1513,B6T0000000118,17520.0,0.0664,10,43,1,1,174.50000000000009,355.00000000000017,17694.5,17875.0,355.0
1514,B6T0000000118,17520.0,0.0664,10,43,1,1,174.50000000000009,355.00000000000017,18049.5,18230.0,710.0
1515,B6T0000000118,17520.0,0.0664,10,43,2,1,174.50000000000009,355.00000000000017,18404.5,18585.0,1065.0
1516,B6T0000000118,17520.0,0.0664,10,43,2,1,174.50000000000009,355.00000000000017,18759.5,18940.0,1420.0
587,B6T0000001238,18840.0,0.1832,3,16,1,1,51.99999999999999,109.99999999999999,18992.0,19050.0,210.0
708,B6T0000000313,19320.0,0.1602,3,45,1,1,170.50000000000009,347.00000000000017,19490.5,19667.0,347.0
709,B6T0000000313,19320.0,0.1602,3,45,1,1,170.50000000000009,347.00000000000017,19837.5,20014.0,694.0
710,B6T0000000313,19320.0,0.1602,3,45,2,1,170.50000000000009,347.00000000000017,20184.5,20361.0,1041.0
712,B6T0000000313,19320.0,0.1602,3,45,2,1,170.50000000000009,347.00000000000017,20531.5,20708.0,1388.0
745,B6T0000000140,25440.0,0.1595,2,46,1,1,173.50000000000009,353.00000000000017,25613.5,25793.0,353.0
751,B6T0000000140,25440.0,0.1595,2,46,1,1,173.50000000000009,353.00000000000017,25966.5,26146.0,706.0
750,B6T0000000140,25440.0,0.1595,2,46,2,1,173.50000000000009,353.00000000000017,26319.5,26499.0,1059.0
749,B6T0000000140,25440.0,0.1595,2,46,2,1,173.50000000000009,353.00000000000017,26672.5,26852.0,1412.0
895,B6T0000000488,25440.0,0.1265,8,13,1,1,50.0,106.0,26902.0,26958.0,1518.0
897,B6T0000000488,25440.0,0.1265,8,13,1,1,50.0,106.0,27008.0,27064.0,1624.0
898,B6T0000000488,25440.0,0.1265,8,13,2,1,50.0,106.0,27114.0,27170.0,1730.0
896,B6T0000000488,25440.0,0.1265,8,13,2,1,50.0,106.0,27220.0,27276.0,1836.0
3059,B6T0000001131,26580.0,0.0183,32,17,1,1,114.0,234.0,27390.0,27510.0,930.0
3478,B6T0000000833,36960.0,0.0122,52,11,2,1,130.0,266.0,37090.0,37226.0,266.0
3479,B6T0000000833,36960.0,0.0122,52,11,2,1,130.0,266.0,37356.0,37492.0,532.0
1970,B6T0000000437,42360.0,0.0436,20,13,2,1,74.0,154.0,42434.0,42514.0,154.0
1971,B6T0000000437,42360.0,0.0436,20,13,2,1,74.0,154.0,42588.0,42668.0,308.0
2100,B6T0000001607,43200.0,0.0396,10,7,1,1,33.0,72.0,43233.0,43272.0,72.0
2099,B6T0000001607,43200.0,0.0396,10,7,1,1,33.0,72.0,43305.0,43344.0,144.0
2102,B6T0000001607,43200.0,0.0396,10,7,2,1,33.0,72.0,43377.0,43416.0,216.0
3283,B6T0000001099,48240.0,0.0148,45,11,2,1,116.0,238.0,48356.0,48478.0,238.0
3282,B6T0000001099,48240.0,0.0148,45,11,2,1,116.0,238.0,48594.0,48716.0,476.0
429,B6T0000000678,51360.0,0.1895,10,9,1,1,38.0,82.0,51398.0,51442.0,82.0
430,B6T0000000678,51360.0,0.1895,10,9,1,1,38.0,82.0,51480.0,51524.0,164.0
2166,B6T0000001771,51780.0,0.0373,12,5,1,1,33.0,72.0,51813.0,51852.0,72.0
2167,B6T0000001771,51780.0,0.0373,12,5,1,1,33.0,72.0,51885.0,51924.0,144.0
2168,B6T0000001771,51780.0,0.0373,12,5,2,1,33.0,72.0,51957.0,51996.0,216.0
2165,B6T0000001771,51780.0,0.0373,12,5,2,1,33.0,72.0,52029.0,52068.0,288.0
1938,B6T0000001937,54120.0,0.0442,8,8,1,1,31.0,68.0,54151.0,54188.0,68.0
1939,B6T0000001937,54120.0,0.0442,8,8,1,1,31.0,68.0,54219.0,54256.0,136.0
1940,B6T0000001937,54120.0,0.0442,8,8,2,1,31.0,68.0,54287.0,54324.0,204.0
1934,B6T0000001937,54120.0,0.0442,8,8,2,1,31.0,68.0,54355.0,54392.0,272.0
1537,B6T0000000088,55440.0,0.0638,4,48,1,1,187.50000000000009,381.00000000000017,55627.5,55821.0,381.0
1536,B6T0000000088,55440.0,0.0638,4,48,1,1,187.50000000000009,381.00000000000017,56008.5,56202.0,762.0
441,B6T0000000678,56040.0,0.1895,10,9,2,1,38.0,82.0,56240.0,56284.0,244.0
451,B6T0000000678,56040.0,0.1895,10,9,2,1,38.0,82.0,56322.0,56366.0,326.0
1535,B6T0000000088,55440.0,0.0638,4,48,2,1,187.50000000000009,381.00000000000017,56553.5,56747.0,1307.0
1534,B6T0000000088,55440.0,0.0638,4,48,2,1,187.50000000000009,381.00000000000017,56934.5,57128.0,1688.0
3304,B6T0000000643,86100.0,0.0144,16,40,2,1,174.00000000000006,354.0000000000001,86274.0,86454.0,354.0
3305,B6T0000000643,86100.0,0.0144,16,40,2,1,174.00000000000006,354.0000000000001,86628.0,86808.0,708.0
633,B6T0000000469,86880.0,0.1623,11,9,1,1,40.0,86.0,86920.0,86966.0,86.0
638,B6T0000000469,86880.0,0.1623,11,9,1,1,40.0,86.0,87006.0,87052.0,172.0
636,B6T0000000469,86880.0,0.1623,11,9,2,1,40.0,86.0,87092.0,87138.0,258.0
637,B6T0000000469,86880.0,0.1623,11,9,2,1,40.0,86.0,87178.0,87224.0,344.0
2436,B6T0000001589,87480.0,0.0297,18,2,2,1,39.0,84.0,87519.0,87564.0,84.0
2439,B6T0000001589,87480.0,0.0297,18,2,2,1,39.0,84.0,87603.0,87648.0,168.0
2161,B6T0000001774,87600.0,0.0375,13,3,2,1,31.0,68.0,87679.0,87716.0,116.0
2160,B6T0000001774,87600.0,0.0375,13,3,2,1,31.0,68.0,87747.0,87784.0,184.0
399,B6T0000000471,88500.0,0.1917,1,17,1,1,52.0,110.0,88552.0,88610.0,110.0
395,B6T0000000471,88500.0,0.1917,1,17,1,1,52.0,110.0,88662.0,88720.0,220.0
