订单号,原材料号,到达时间(s),消耗占比,列坐标,层坐标,货架号,巷道号,单程时间(s),总运输时间(s),开始时刻(s),完成时刻(s),流动时间(s),策略
3639,B6T0000001187,0.0,0.011,37,31,1,1,180.00000000000003,366.00000000000006,180.00000000000003,366.00000000000006,366.00000000000006,SPT
3638,B6T0000001187,0.0,0.011,37,31,1,1,180.00000000000003,366.00000000000006,546.0000000000001,732.0000000000001,732.0000000000001,SPT
2525,B6T0000001776,7260.0,0.0273,17,7,1,1,47.0,100.0,7307.0,7360.0,100.0,SPT
483,B6T0000001101,9060.0,0.1876,7,12,2,1,44.0,94.0,9104.0,9154.0,94.0,SPT
484,B6T0000001101,9060.0,0.1876,7,12,2,1,44.0,94.0,9198.0,9248.0,188.0,SPT
1513,B6T0000000118,17520.0,0.0664,10,43,1,1,174.50000000000009,355.00000000000017,17694.5,17875.0,355.0,SPT
1514,B6T0000000118,17520.0,0.0664,10,43,1,1,174.50000000000009,355.00000000000017,18049.5,18230.0,710.0,SPT
1515,B6T0000000118,17520.0,0.0664,10,43,2,1,174.50000000000009,355.00000000000017,18404.5,18585.0,1065.0,SPT
1516,B6T0000000118,17520.0,0.0664,10,43,2,1,174.50000000000009,355.00000000000017,18759.5,18940.0,1420.0,SPT
587,B6T0000001238,18840.0,0.1832,3,16,1,1,51.99999999999999,110.0,18992.0,19050.0,210.0,SPT
708,B6T0000000313,19320.0,0.1602,3,45,1,1,170.50000000000009,347.00000000000017,19490.5,19667.0,347.0,SPT
709,B6T0000000313,19320.0,0.1602,3,45,1,1,170.50000000000009,347.00000000000017,19837.5,20014.0,694.0,SPT
710,B6T0000000313,19320.0,0.1602,3,45,2,1,170.50000000000009,347.00000000000017,20184.5,20361.0,1041.0,SPT
712,B6T0000000313,19320.0,0.1602,3,45,2,1,170.50000000000009,347.00000000000017,20531.5,20708.0,1388.0,SPT
895,B6T0000000488,25440.0,0.1265,8,13,1,1,50.0,106.0,25490.0,25546.0,106.0,SPT
897,B6T0000000488,25440.0,0.1265,8,13,1,1,50.0,106.0,25596.0,25652.0,212.0,SPT
898,B6T0000000488,25440.0,0.1265,8,13,2,1,50.0,106.0,25702.0,25758.0,318.0,SPT
