vx(m/s),vz(m/s),平均流动时间(s),平均总运输时间(s)
2.5,1.25,44.1833493846981,20.886934189406105
2.0,1.0,52.28681112894775,24.608667736757628
1.5,0.75,66.10543962903559,30.811556982343507
1.0,0.5,94.95264847512051,43.217335473515256
0.8,0.4,118.92034510433386,52.52166934189406
0.6,0.3,163.87952559300308,68.02889245585877
0.5,0.25,203.71631888710775,80.43467094703051
0.4,0.2,271.1841894060995,99.04333868378812
0.35,0.175,322.9867767331636,112.3352442100436
0.32,0.16,365.37486623863026,122.30417335473518
0.3,0.15,398.94917067951786,130.05778491171753
0.28,0.14,439.07838416265145,138.91905526255448
0.25,0.125,513.1957196361793,154.86934189406102
0.2,0.1,701.1717495987159,192.08667736757627
0.15,0.075,1044.2917781344677,254.11556982343507
0.1,0.05,1882.7897271268057,378.1733547351526
