订单号,原材料编号,箱子类型,堆垛机编号,货架号,层(z),列(x),深浅位,到达时刻(s),开始时刻(s),完成时刻(s),操作时间(s),等待时间(s),流动时间(s),是否复合
3639,B6T0000001187,E3,1,1,31,37,浅位,240.0,240.0,290.4553846153846,50.45538461538463,0.0,50.45538461538462,否
3638,B6T0000001187,E3,1,1,31,37,深位,240.0,290.4553846153846,340.91076923076923,50.45538461538463,50.45538461538462,100.91076923076923,否
3036,B6T0000001703,E1,1,1,2,31,浅位,3300.0,3300.0,3316.8430769230768,16.84307692307692,0.0,16.84307692307675,否
3035,B6T0000001703,E1,1,1,2,31,深位,3300.0,3316.8430769230768,3333.6861538461535,16.84307692307692,16.84307692307675,33.6861538461535,否
3034,B6T0000001703,E1,1,2,2,31,浅位,3300.0,3333.6861538461535,3350.5292307692303,16.84307692307692,33.6861538461535,50.52923076923025,否
2525,B6T0000001776,E1,1,1,7,17,浅位,7500.0,7558.116923076923,7573.556923076922,15.440000000000001,58.11692307692283,73.55692307692243,否
483,B6T0000001101,E3,1,2,12,7,浅位,9300.0,9300.0,9317.47076923077,17.47076923076923,0.0,17.470769230769292,否
484,B6T0000001101,E3,1,2,12,7,深位,9300.0,9317.47076923077,9334.941538461539,17.47076923076923,17.470769230769292,34.941538461538585,否
2612,B6T0000000877,E3,1,1,9,33,浅位,13860.0,13898.50461538461,13919.396923076918,20.892307692307693,38.50461538461059,59.39692307691803,是
2613,B6T0000000877,E3,1,1,9,33,深位,13860.0,13933.44615384615,13947.49538461538,14.04923076923077,73.44615384614917,87.49538461538032,是
2614,B6T0000000877,E3,1,2,9,33,浅位,13860.0,13961.544615384611,13975.593846153843,14.04923076923077,101.54461538461146,115.5938461538426,是
2615,B6T0000000877,E3,1,2,9,33,深位,13860.0,13989.643076923074,14003.692307692305,14.04923076923077,129.64307692307375,143.6923076923049,是
3220,B6T0000001266,E3,1,1,9,45,浅位,15180.0,15236.083076923072,15274.332307692302,38.249230769230785,56.08307692307244,94.33230769230249,是
3222,B6T0000001266,E3,1,1,9,45,深位,15180.0,15312.710769230765,15351.089230769227,38.37846153846155,132.71076923076544,171.08923076922656,是
3221,B6T0000001266,E3,1,2,9,45,浅位,15180.0,15389.467692307688,15427.846153846149,38.37846153846155,209.46769230768768,247.8461538461488,是
3390,B6T0000001652,E1,1,1,1,44,浅位,16620.0,16620.0,16640.387692307693,20.387692307692312,0.0,20.387692307693214,否
3391,B6T0000001652,E1,1,1,1,44,深位,16620.0,16640.387692307693,16660.775384615386,20.387692307692312,20.387692307693214,40.77538461538643,否
1507,B6T0000000118,E4,1,1,43,10,浅位,17760.0,17760.0,17816.73846153846,56.738461538461564,0.0,56.738461538461706,否
1506,B6T0000000118,E4,1,1,43,10,深位,17760.0,17816.73846153846,17873.476923076923,56.738461538461564,56.738461538461706,113.47692307692341,否
1509,B6T0000000118,E4,1,2,43,10,浅位,17760.0,17873.476923076923,17930.215384615385,56.738461538461564,113.47692307692341,170.21538461538512,否
1510,B6T0000000118,E4,1,2,43,10,深位,17760.0,17930.215384615385,17986.953846153847,56.738461538461564,170.21538461538512,226.95384615384683,否
587,B6T0000001238,E3,1,1,16,3,浅位,19080.0,19403.24923076923,19424.363076923077,21.113846153846154,323.24923076923005,344.36307692307673,否
