货架(y),层(z),列(x),深浅位,原材料编号,箱子类型,物理距离(mm)
1,1,1,浅位,B6T0000001464,E1,500.0
1,1,1,深位,B6T0000001464,E1,500.0
1,1,2,浅位,B6T0000001912,E1,900.0
1,1,2,深位,B6T0000001912,E1,900.0
1,1,3,浅位,B6T0000001584,E1,1300.0
1,1,3,深位,B6T0000001584,E1,1300.0
1,1,4,浅位,B6T0000001324,E1,1700.0
1,1,4,深位,B6T0000001324,E1,1700.0
1,1,5,浅位,B6T0000001544,E1,2100.0
1,1,5,深位,B6T0000001544,E1,2100.0
1,1,6,浅位,B6T0000001427,E1,2500.0
1,1,6,深位,B6T0000001427,E1,2500.0
1,1,7,浅位,B6T0000001519,E1,2900.0
1,1,7,深位,B6T0000001519,E1,2900.0
1,1,8,浅位,B6T0000001854,E1,3300.0
1,1,8,深位,B6T0000001854,E1,3300.0
1,1,9,浅位,B6T0000001735,E1,3700.0
1,1,9,深位,B6T0000001197,E3,3700.0
1,1,10,浅位,B6T0000001657,E1,4100.0
1,1,10,深位,B6T0000001657,E1,4100.0
1,1,11,浅位,B6T0000001573,E1,4500.0
1,1,11,深位,B6T0000001573,E1,4500.0
1,1,12,浅位,B6T0000001769,E1,4900.0
1,1,12,深位,B6T0000001769,E1,4900.0
1,1,13,浅位,B6T0000001528,E1,5300.0
1,1,13,深位,B6T0000001528,E1,5300.0
1,1,14,浅位,B6T0000001674,E1,5700.0
1,1,14,深位,B6T0000001674,E1,5700.0
1,1,15,浅位,B6T0000001805,E1,6100.0
1,1,15,深位,B6T0000001805,E1,6100.0
1,1,16,浅位,B6T0000001856,E1,6500.0
1,1,16,深位,B6T0000001856,E1,6500.0
1,1,17,浅位,B6T0000001403,E1,6900.0
1,1,17,深位,B6T0000001403,E1,6900.0
1,1,18,浅位,B6T0000001984,E1,7300.0
1,1,18,深位,B6T0000001817,E1,7300.0
1,1,19,浅位,B6T0000001327,E1,7700.0
1,1,19,深位,B6T0000001327,E1,7700.0
1,1,20,浅位,B6T0000001643,E1,8100.0
1,1,21,浅位,B6T0000001439,E1,8500.0
1,1,21,深位,B6T0000001439,E1,8500.0
1,1,22,浅位,B6T0000001784,E1,8900.0
1,1,22,深位,B6T0000001784,E1,8900.0
1,1,23,浅位,B6T0000001895,E1,9300.0
1,1,25,浅位,B6T0000001451,E1,10100.0
1,1,25,深位,B6T0000001451,E1,10100.0
1,1,26,浅位,B6T0000001688,E1,10500.0
1,1,26,深位,B6T0000001688,E1,10500.0
1,1,27,浅位,B6T0000001917,E1,10900.0
1,1,27,深位,B6T0000001917,E1,10900.0
1,1,29,浅位,B6T0000001547,E1,11700.0
1,1,29,深位,B6T0000001547,E1,11700.0
1,1,30,浅位,B6T0000001612,E1,12100.0
1,1,30,深位,B6T0000001612,E1,12100.0
1,1,31,浅位,B6T0000001661,E1,12500.0
1,1,31,深位,B6T0000001661,E1,12500.0
1,1,32,浅位,B6T0000001663,E1,12900.0
1,1,32,深位,B6T0000001663,E1,12900.0
1,1,33,浅位,B6T0000001983,E1,13300.0
1,1,33,深位,B6T0000001983,E1,13300.0
1,1,34,浅位,B6T0000001857,E1,13700.0
1,1,34,深位,B6T0000001857,E1,13700.0
1,1,35,浅位,B6T0000001736,E1,14100.0
1,1,35,深位,B6T0000001736,E1,14100.0
1,1,37,浅位,B6T0000001744,E1,14900.0
1,1,37,深位,B6T0000001744,E1,14900.0
1,1,38,浅位,B6T0000001658,E1,15300.0
1,1,38,深位,B6T0000001658,E1,15300.0
1,1,39,浅位,B6T0000001670,E1,15700.0
1,1,39,深位,B6T0000001670,E1,15700.0
1,1,40,深位,B6T0000001890,E1,16100.0
1,1,41,浅位,B6T0000001614,E1,16500.0
1,1,41,深位,B6T0000001614,E1,16500.0
1,1,42,浅位,B6T0000001702,E1,16900.0
1,1,42,深位,B6T0000001702,E1,16900.0
1,1,43,浅位,B6T0000001878,E1,17300.0
1,1,43,深位,B6T0000001878,E1,17300.0
1,1,45,浅位,B6T0000001887,E1,18100.0
1,1,45,深位,B6T0000001887,E1,18100.0
1,1,46,浅位,B6T0000001635,E1,18500.0
1,1,46,深位,B6T0000001635,E1,18500.0
1,1,47,浅位,B6T0000001361,E1,18900.0
1,1,47,深位,B6T0000001361,E1,18900.0
1,1,48,浅位,B6T0000001514,E1,19300.0
1,1,48,深位,B6T0000001514,E1,19300.0
1,1,49,浅位,B6T0000001571,E1,19700.0
1,1,50,浅位,B6T0000001790,E1,20100.0
1,1,50,深位,B6T0000001790,E1,20100.0
1,1,51,浅位,B6T0000001993,E1,20500.0
1,1,51,深位,B6T0000001993,E1,20500.0
1,1,52,浅位,B6T0000001498,E1,20900.0
1,1,52,深位,B6T0000001498,E1,20900.0
1,1,53,浅位,B6T0000001567,E1,21300.0
1,1,53,深位,B6T0000001567,E1,21300.0
1,1,54,浅位,B6T0000001441,E1,21700.0
1,1,54,深位,B6T0000001441,E1,21700.0
1,1,55,浅位,B6T0000001493,E1,22100.0
1,1,55,深位,B6T0000001493,E1,22100.0
1,1,56,浅位,B6T0000001725,E1,22500.0
1,1,56,深位,B6T0000001725,E1,22500.0
1,1,57,浅位,B6T0000001903,E1,22900.0
1,1,57,深位,B6T0000001903,E1,22900.0
1,1,58,浅位,B6T0000001813,E1,23300.0
1,1,58,深位,B6T0000001813,E1,23300.0
1,1,61,浅位,B6T0000001969,E1,24500.0
1,2,1,浅位,B6T0000001954,E1,700.0
1,2,1,深位,B6T0000001954,E1,700.0
1,2,2,浅位,B6T0000001638,E1,1100.0
1,2,2,深位,B6T0000001638,E1,1100.0
1,2,3,浅位,B6T0000001864,E1,1500.0
1,2,3,深位,B6T0000001864,E1,1500.0
1,2,4,浅位,B6T0000001859,E1,1900.0
1,2,4,深位,B6T0000001808,E1,1900.0
1,2,5,浅位,B6T0000001800,E1,2300.0
1,2,5,深位,B6T0000001800,E1,2300.0
1,2,6,浅位,B6T0000001975,E1,2700.0
1,2,6,深位,B6T0000001975,E1,2700.0
1,2,8,浅位,B6T0000001916,E1,3500.0
1,2,8,深位,B6T0000001916,E1,3500.0
1,2,9,浅位,B6T0000001859,E1,3900.0
1,2,9,深位,B6T0000001859,E1,3900.0
1,2,10,浅位,B6T0000001537,E1,4300.0
1,2,10,深位,B6T0000001537,E1,4300.0
1,2,11,浅位,B6T0000001971,E1,4700.0
1,2,11,深位,B6T0000001971,E1,4700.0
1,2,12,浅位,B6T0000001740,E1,5100.0
1,2,12,深位,B6T0000001740,E1,5100.0
1,2,13,浅位,B6T0000001828,E1,5500.0
1,2,13,深位,B6T0000001828,E1,5500.0
1,2,14,深位,B6T0000001469,E1,5900.0
1,2,15,浅位,B6T0000001689,E1,6300.0
1,2,15,深位,B6T0000001689,E1,6300.0
1,2,16,浅位,B6T0000001471,E1,6700.0
