crane,material,box_type,src_shelf,src_z,src_x,src_slot,dst_shelf,dst_z,dst_x,dst_slot,start,end,op_time
1,B6T0000001954,E1,1,2,1,0,6,2,2,0,86449.62461538462,86462.40615384615,12.781538461538462
1,B6T0000001954,E1,1,2,1,1,6,2,2,1,86462.40615384615,86474.72615384616,12.32
1,B6T0000001954,E1,2,2,1,0,7,2,2,0,86474.72615384616,86487.04615384617,12.32
1,B6T0000001912,E1,1,1,2,0,10,6,4,0,86487.04615384617,86501.21230769232,14.166153846153845
1,B6T0000001912,E1,1,1,2,1,10,6,4,1,86501.21230769232,86516.92923076924,15.716923076923077
1,B6T0000001912,E1,2,1,2,0,11,6,4,0,86516.92923076924,86532.64615384616,15.716923076923077
1,B6T0000001912,E1,2,1,2,1,11,6,4,1,86532.64615384616,86548.36307692308,15.716923076923077
1,B6T0000001715,E1,1,3,1,0,2,6,6,0,86548.36307692308,86563.48923076924,15.126153846153848
1,B6T0000001715,E1,1,3,1,1,2,6,6,1,86563.48923076924,86578.93538461538,15.446153846153846
1,B6T0000001715,E1,2,3,1,0,3,6,6,0,86578.93538461538,86594.38153846153,15.446153846153846
1,B6T0000001715,E1,2,3,1,1,3,6,6,1,86594.38153846153,86609.82769230768,15.446153846153846
1,B6T0000001638,E1,1,2,2,0,6,2,10,0,86609.82769230768,86624.97846153844,15.15076923076923
1,B6T0000001638,E1,1,2,2,1,6,2,10,1,86624.97846153844,86639.53846153844,14.56
1,B6T0000001638,E1,2,2,2,0,7,2,10,0,86639.53846153844,86654.09846153844,14.56
1,B6T0000001638,E1,2,2,2,1,7,2,10,1,86654.09846153844,86668.65846153843,14.56
1,B6T0000001889,E1,1,4,1,0,2,6,11,0,86668.65846153843,86684.92923076921,16.27076923076923
1,B6T0000001889,E1,1,4,1,1,2,6,11,1,86684.92923076921,86701.35999999997,16.43076923076923
1,B6T0000001889,E1,2,4,1,0,3,6,11,0,86701.35999999997,86717.79076923073,16.43076923076923
1,B6T0000001889,E1,2,4,1,1,3,6,11,1,86717.79076923073,86734.2215384615,16.43076923076923
1,B6T0000001584,E1,1,1,3,0,14,8,11,0,86734.2215384615,86752.4738461538,18.252307692307692
1,B6T0000001584,E1,1,1,3,1,14,8,11,1,86752.4738461538,86771.3415384615,18.86769230769231
1,B6T0000001584,E1,2,1,3,0,1,1,15,0,86771.3415384615,86788.69538461533,17.353846153846156
1,B6T0000001584,E1,2,1,3,1,1,1,15,1,86788.69538461533,86804.53538461533,15.84
1,B6T0000001348,E1,1,3,2,0,9,7,15,0,86804.53538461533,86822.54153846149,18.006153846153847
1,B6T0000001348,E1,1,3,2,1,9,7,15,1,86822.54153846149,86841.16307692303,18.621538461538464
1,B6T0000001348,E1,2,3,2,0,10,7,15,0,86841.16307692303,86859.78461538456,18.621538461538464
1,B6T0000001348,E1,2,3,2,1,10,7,15,1,86859.78461538456,86878.4061538461,18.621538461538464
1,B6T0000001424,E1,1,5,1,0,8,4,18,0,86878.4061538461,86896.28923076917,17.88307692307692
1,B6T0000001424,E1,1,5,1,1,8,4,18,1,86896.28923076917,86914.34461538454,18.055384615384614
1,B6T0000001424,E1,2,5,1,0,9,4,18,0,86914.34461538454,86932.39999999992,18.055384615384614
1,B6T0000001424,E1,2,5,1,1,9,4,18,1,86932.39999999992,86950.4553846153,18.055384615384614
1,B6T0000001864,E1,1,2,3,0,11,8,20,0,86950.4553846153,86970.03692307684,19.58153846153846
1,B6T0000001864,E1,1,2,3,1,11,8,20,1,86970.03692307684,86991.16923076916,21.13230769230769
1,B6T0000001864,E1,2,2,3,0,12,8,20,0,86991.16923076916,87012.30153846147,21.13230769230769
1,B6T0000001864,E1,2,2,3,1,12,8,20,1,87012.30153846147,87033.43384615378,21.13230769230769
1,B6T0000001830,E1,1,4,2,0,4,6,25,0,87033.43384615378,87053.83999999994,20.40615384615385
1,B6T0000001830,E1,1,4,2,1,4,6,25,1,87053.83999999994,87074.4307692307,20.590769230769233
1,B6T0000001830,E1,2,4,2,0,5,6,25,0,87074.4307692307,87095.02153846147,20.590769230769233
1,B6T0000001830,E1,2,4,2,1,5,6,25,1,87095.02153846147,87115.61230769224,20.590769230769233
1,B6T0000001754,E1,1,6,1,0,4,2,33,0,87115.61230769224,87137.80307692301,22.19076923076923
1,B6T0000001754,E1,1,6,1,1,4,2,33,1,87137.80307692301,87162.50461538455,24.701538461538462
1,B6T0000001754,E1,2,6,1,0,5,2,33,0,87162.50461538455,87187.20615384608,24.701538461538462
1,B6T0000001754,E1,2,6,1,1,5,2,33,1,87187.20615384608,87211.90769230762,24.701538461538462
1,B6T0000001324,E1,1,1,4,0,1,2,35,0,87211.90769230762,87234.123076923,22.215384615384615
1,B6T0000001324,E1,1,1,4,1,1,2,35,1,87234.123076923,87256.65846153839,22.535384615384615
1,B6T0000001324,E1,2,1,4,0,2,2,35,0,87256.65846153839,87279.19384615378,22.535384615384615
1,B6T0000001681,E1,1,3,3,0,1,3,35,0,87279.19384615378,87301.74153846147,22.54769230769231
1,B6T0000001681,E1,1,3,3,1,1,3,35,1,87301.74153846147,87323.98153846148,22.240000000000002
1,B6T0000001681,E1,2,3,3,0,2,3,35,0,87323.98153846148,87346.22153846148,22.240000000000002
1,B6T0000001681,E1,2,3,3,1,2,3,35,1,87346.22153846148,87368.46153846149,22.240000000000002
1,B6T0000001370,E1,1,5,2,0,14,4,39,0,87368.46153846149,87392.58461538456,24.123076923076923
1,B6T0000001370,E1,1,5,2,1,14,4,39,1,87392.58461538456,87417.03999999995,24.455384615384617
1,B6T0000001370,E1,2,5,2,0,1,6,38,0,87417.03999999995,87441.33538461533,24.295384615384616
1,B6T0000001370,E1,2,5,2,1,1,6,38,1,87441.33538461533,87465.47076923071,24.135384615384616
1,B6T0000001388,E1,1,7,1,0,13,4,40,0,87465.47076923071,87490.86153846148,25.39076923076923
1,B6T0000001388,E1,1,7,1,1,13,4,40,1,87490.86153846148,87517.18769230763,26.326153846153847
1,B6T0000001388,E1,2,7,1,0,14,4,40,0,87517.18769230763,87543.51384615379,26.326153846153847
1,B6T0000001388,E1,2,7,1,1,14,4,40,1,87543.51384615379,87569.83999999994,26.326153846153847
1,B6T0000001382,E1,1,2,4,0,13,7,42,0,87569.83999999994,87595.83384615378,25.993846153846153
1,B6T0000001382,E1,1,2,4,1,13,7,42,1,87595.83384615378,87623.0707692307,27.236923076923077
1,B6T0000001382,E1,2,2,4,0,14,7,42,0,87623.0707692307,87650.30769230763,27.236923076923077
1,B6T0000001382,E1,2,2,4,1,14,7,42,1,87650.30769230763,87677.54461538456,27.236923076923077
1,B6T0000001827,E1,1,1,23,1,13,4,47,0,87677.54461538456,87699.19384615378,21.64923076923077
1,B6T0000001827,E1,1,4,17,1,13,4,47,1,87699.19384615378,87720.79384615379,21.6
1,B6T0000001827,E1,1,5,18,1,14,4,47,0,87720.79384615379,87742.68923076917,21.895384615384614
1,B6T0000001827,E1,2,6,17,1,14,4,47,1,87742.68923076917,87765.51999999995,22.83076923076923
1,B6T0000001827,E1,1,8,14,1,1,6,46,0,87765.51999999995,87789.7661538461,24.246153846153845
1,B6T0000001827,E1,2,5,12,1,1,6,46,1,87789.7661538461,87813.26153846148,23.495384615384616
1,B6T0000001827,E1,1,7,10,0,2,6,46,0,87813.26153846148,87837.39692307686,24.135384615384616
1,B6T0000001827,E1,1,7,10,1,2,6,46,1,87837.39692307686,87861.53230769224,24.135384615384616
1,B6T0000001827,E1,2,7,10,0,3,6,46,0,87861.53230769224,87885.66769230762,24.135384615384616
1,B6T0000001827,E1,1,8,8,0,3,6,46,1,87885.66769230762,87911.05846153839,25.39076923076923
1,B6T0000001827,E1,1,8,8,1,4,6,46,0,87911.05846153839,87936.44923076915,25.39076923076923
1,B6T0000001827,E1,2,8,8,0,4,6,46,1,87936.44923076915,87961.83999999992,25.39076923076923
1,B6T0000001827,E1,2,8,8,1,5,6,46,0,87961.83999999992,87987.2307692307,25.39076923076923
1,B6T0000001827,E1,1,4,3,0,5,6,46,1,87987.2307692307,88014.22153846147,26.99076923076923
1,B6T0000001827,E1,1,4,3,1,6,6,46,0,88014.22153846147,88041.21230769224,26.99076923076923
1,B6T0000001827,E1,2,4,3,0,6,6,46,1,88041.21230769224,88068.20307692302,26.99076923076923
1,B6T0000001827,E1,2,4,3,1,7,6,46,0,88068.20307692302,88095.1938461538,26.99076923076923
1,B6T0000001700,E1,1,6,2,0,3,7,49,0,88095.1938461538,88122.06153846148,26.86769230769231
1,B6T0000001700,E1,1,6,2,1,3,7,49,1,88122.06153846148,88149.71692307686,27.655384615384616
1,B6T0000001700,E1,2,6,2,0,4,7,49,0,88149.71692307686,88177.37230769225,27.655384615384616
1,B6T0000001700,E1,2,6,2,1,4,7,49,1,88177.37230769225,88205.02769230763,27.655384615384616
1,B6T0000001425,E1,1,8,1,0,5,6,52,0,88205.02769230763,88233.7907692307,28.763076923076923
1,B6T0000001425,E1,1,8,1,1,5,6,52,1,88233.7907692307,88263.34153846148,29.55076923076923
1,B6T0000001425,E1,2,8,1,0,6,6,52,0,88263.34153846148,88292.89230769225,29.55076923076923
1,B6T0000001425,E1,2,8,1,1,6,6,52,1,88292.89230769225,88322.44307692302,29.55076923076923
1,B6T0000001544,E1,1,3,4,0,6,7,52,0,88322.44307692302,88351.95692307687,29.51384615384616
1,B6T0000001544,E1,1,3,4,1,6,7,52,1,88351.95692307687,88381.7784615384,29.821538461538466
1,B6T0000001544,E1,1,1,5,0,7,7,52,0,88381.7784615384,88412.5107692307,30.732307692307693
1,B6T0000001544,E1,1,1,5,1,7,7,52,1,88412.5107692307,88443.24307692301,30.732307692307693
1,B6T0000001544,E1,2,1,5,0,8,7,52,0,88443.24307692301,88473.97538461532,30.732307692307693
1,B6T0000001544,E1,2,1,5,1,8,7,52,1,88473.97538461532,88504.70769230762,30.732307692307693
1,B6T0000001756,E1,1,5,3,0,8,7,56,0,88504.70769230762,88534.2584615384,29.550769230769234
1,B6T0000001756,E1,1,5,3,1,8,7,56,1,88534.2584615384,88564.44923076917,30.19076923076923
1,B6T0000001756,E1,2,5,3,0,9,7,56,0,88564.44923076917,88594.63999999994,30.19076923076923
1,B6T0000001756,E1,2,5,3,1,9,7,56,1,88594.63999999994,88624.83076923071,30.19076923076923
1,B6T0000001756,E1,2,3,4,0,10,7,56,0,88624.83076923071,88655.93230769226,31.10153846153846
1,B6T0000001756,E1,2,3,4,1,10,7,56,1,88655.93230769226,88687.0338461538,31.10153846153846
1,B6T0000001623,E1,1,7,2,0,2,4,63,0,88687.0338461538,88718.35692307688,31.323076923076925
1,B6T0000001623,E1,1,7,2,1,2,4,63,1,88718.35692307688,88751.72307692304,33.36615384615385
1,B6T0000001623,E1,2,7,2,0,3,4,63,0,88751.72307692304,88785.0892307692,33.36615384615385
1,B6T0000001800,E1,1,2,5,0,11,2,65,0,88785.0892307692,88816.58461538458,31.495384615384616
1,B6T0000001800,E1,1,2,5,1,11,2,65,1,88816.58461538458,88847.78461538457,31.2
1,B6T0000001800,E1,2,2,5,0,12,2,65,0,88847.78461538457,88878.98461538457,31.2
1,B6T0000001800,E1,2,2,5,1,12,2,65,1,88878.98461538457,88910.18461538457,31.2
1,B6T0000001773,E1,1,4,4,0,6,8,64,0,88910.18461538457,88943.39076923073,33.206153846153846
1,B6T0000001773,E1,1,4,4,1,6,8,64,1,88943.39076923073,88977.05230769227,33.661538461538456
1,B6T0000001773,E1,2,4,4,0,7,8,64,0,88977.05230769227,89010.71384615381,33.661538461538456
1,B6T0000001773,E1,2,4,4,1,7,8,64,1,89010.71384615381,89044.37538461536,33.661538461538456
1,B6T0000001427,E1,1,6,3,0,3,7,67,0,89044.37538461536,89077.29846153843,32.92307692307693
1,B6T0000001427,E1,1,6,3,1,3,7,67,1,89077.29846153843,89110.39384615382,33.09538461538462
1,B6T0000001054,E3,1,10,1,0,3,13,4,0,89110.39384615382,89136.6646153846,26.270769230769233
1,B6T0000001054,E3,1,10,1,1,3,13,4,1,89136.6646153846,89153.3169230769,16.65230769230769
