堆垛机编号,巷道号,任务类型,订单号,原材料编号,箱子类型,到达时刻(s),开始时刻(s),完成时刻(s),操作时间(s),等待时间(s),流动时间(s),货架号,层(z),列(x),深浅位,是否复合
1,1,outbound,3639,B6T0000001187,E3,240.0,240.0,290.4553846153846,50.45538461538463,0.0,50.45538461538462,1,31,37,浅位,否
1,1,outbound,3638,B6T0000001187,E3,240.0,290.4553846153846,340.91076923076923,50.45538461538463,50.45538461538462,100.91076923076923,1,31,37,深位,否
1,1,outbound,3036,B6T0000001703,E1,3300.0,3300.0,3316.8430769230768,16.84307692307692,0.0,16.84307692307675,1,2,31,浅位,否
1,1,outbound,3035,B6T0000001703,E1,3300.0,3316.8430769230768,3333.6861538461535,16.84307692307692,16.84307692307675,33.6861538461535,1,2,31,深位,否
1,1,outbound,3034,B6T0000001703,E1,3300.0,3333.6861538461535,3350.5292307692303,16.84307692307692,33.6861538461535,50.52923076923025,2,2,31,浅位,否
1,1,inbound,IN0541,B6T0000001606,E1,4500.0,4500.0,4506.621538461539,6.621538461538462,0.0,6.621538461538876,2,2,1,深位,否
1,1,inbound,IN0541,B6T0000001606,E1,4500.0,4507.243076923077,4514.036923076923,6.793846153846154,7.243076923076842,14.036923076922903,2,1,4,深位,否
1,1,inbound,IN0541,B6T0000001606,E1,4500.0,4514.830769230769,4523.150769230769,8.32,14.830769230768965,23.150769230768674,2,7,2,深位,否
1,1,outbound,2525,B6T0000001776,E1,7500.0,7558.116923076923,7573.556923076922,15.440000000000001,58.11692307692283,73.55692307692243,1,7,17,浅位,否
1,1,outbound,483,B6T0000001101,E3,9300.0,9300.0,9317.47076923077,17.47076923076923,0.0,17.470769230769292,2,12,7,浅位,否
1,1,outbound,484,B6T0000001101,E3,9300.0,9317.47076923077,9334.941538461539,17.47076923076923,17.470769230769292,34.941538461538585,2,12,7,深位,否
1,1,inbound,IN0192,B6T0000000557,E3,9960.0,9960.0,9970.96,10.96,0.0,10.959999999999127,2,11,6,深位,否
1,1,inbound,IN0192,B6T0000000557,E3,9960.0,9975.92,9987.655384615384,11.735384615384614,15.920000000000073,27.65538461538381,2,12,7,浅位,否
1,1,inbound,IN0192,B6T0000000557,E3,9960.0,9993.39076923077,10005.126153846153,11.735384615384614,33.390769230769365,45.1261538461531,2,12,7,深位,否
1,1,inbound,IN0089,B6T0000000247,E4,12540.0,12540.0,12570.889230769231,30.88923076923078,0.0,30.88923076923129,1,43,7,深位,否
1,1,inbound,IN0089,B6T0000000247,E4,12540.0,12595.77846153846,12628.556923076922,32.77846153846155,55.77846153846076,88.55692307692152,2,44,14,深位,否
1,1,inbound,IN0089,B6T0000000247,E4,12540.0,12655.335384615384,12688.753846153846,33.41846153846155,115.3353846153841,148.7538461538461,1,44,18,深位,否
1,1,inbound,IN0089,B6T0000000247,E4,12540.0,12716.172307692308,12750.107692307693,33.935384615384635,176.1723076923081,210.10769230769256,2,48,2,深位,否
1,1,inbound,IN0089,B6T0000000247,E4,12540.0,12778.043076923077,12813.350769230768,35.30769230769232,238.04307692307702,273.3507692307685,1,45,25,深位,否
1,1,inbound,IN0089,B6T0000000247,E4,12540.0,12842.658461538462,12879.412307692308,36.75384615384617,302.6584615384618,339.4123076923079,1,50,10,深位,否
1,1,inbound,IN0089,B6T0000000247,E4,12540.0,12910.166153846154,12947.110769230769,36.944615384615396,370.166153846154,407.1107692307687,1,49,16,深位,否
1,1,inbound,IN0089,B6T0000000247,E4,12540.0,12978.055384615385,13015.38153846154,37.32615384615386,438.05538461538526,475.3815384615391,1,47,28,深位,否
1,1,inbound,IN0089,B6T0000000247,E4,12540.0,13046.707692307693,13084.316923076924,37.60923076923078,506.7076923076929,544.3169230769236,1,43,49,浅位,否
1,1,inbound,IN0089,B6T0000000247,E4,12540.0,13115.926153846154,13153.535384615385,37.60923076923078,575.9261538461542,613.5353846153848,1,43,49,深位,否
1,1,inbound,IN0089,B6T0000000247,E4,12540.0,13185.144615384615,13222.753846153846,37.60923076923078,645.1446153846155,682.7538461538461,2,43,49,浅位,否
1,1,inbound,IN0089,B6T0000000247,E4,12540.0,13254.363076923077,13291.972307692307,37.60923076923078,714.3630769230767,751.9723076923074,2,43,49,深位,否
1,1,inbound,IN0089,B6T0000000247,E4,12540.0,13323.581538461538,13361.350769230768,37.76923076923078,783.581538461538,821.3507692307685,1,43,50,浅位,否
1,1,inbound,IN0089,B6T0000000247,E4,12540.0,13393.119999999999,13430.88923076923,37.76923076923078,853.119999999999,890.8892307692295,1,43,50,深位,否
1,1,inbound,IN0089,B6T0000000247,E4,12540.0,13462.65846153846,13500.42769230769,37.76923076923078,922.65846153846,960.4276923076904,2,43,50,浅位,否
1,1,inbound,IN0089,B6T0000000247,E4,12540.0,13532.196923076921,13569.966153846151,37.76923076923078,992.1969230769209,1029.9661538461514,2,43,50,深位,否
1,1,inbound,IN0089,B6T0000000247,E4,12540.0,13601.735384615382,13639.664615384612,37.929230769230784,1061.735384615382,1099.6646153846123,1,43,51,浅位,否
1,1,inbound,IN0089,B6T0000000247,E4,12540.0,13671.593846153843,13709.523076923073,37.929230769230784,1131.5938461538426,1169.523076923073,1,43,51,深位,否
1,1,inbound,IN0383,B6T0000001166,E3,13680.0,13741.452307692303,13754.516923076919,13.064615384615385,61.45230769230329,74.51692307691883,1,10,23,深位,否
1,1,inbound,IN0383,B6T0000001166,E3,13680.0,13761.581538461534,13774.843076923073,13.26153846153846,81.58153846153436,94.84307692307266,2,15,5,深位,否
1,1,inbound,IN0383,B6T0000001166,E3,13680.0,13782.104615384611,13796.37538461538,14.27076923076923,102.10461538461095,116.37538461537952,2,13,19,深位,否
1,1,inbound,IN0383,B6T0000001166,E3,13680.0,13804.64615384615,13819.076923076918,14.430769230769231,124.6461538461499,139.07692307691832,1,13,20,深位,否
1,1,inbound,IN0383,B6T0000001166,E3,13680.0,13827.507692307689,13843.649230769228,16.14153846153846,147.50769230768856,163.64923076922787,1,15,23,深位,否
1,1,inbound,IN0383,B6T0000001166,E3,13680.0,13853.790769230765,13870.621538461535,16.83076923076923,173.79076923076536,190.62153846153524,1,13,35,深位,否
1,1,outbound,2612,B6T0000000877,E3,13860.0,13898.50461538461,13919.396923076918,20.892307692307693,38.50461538461059,59.39692307691803,1,9,33,浅位,是
1,1,inbound,IN0383,B6T0000001166,E3,13680.0,13881.452307692303,13898.50461538461,17.052307692307693,201.4523076923033,218.5046153846106,2,17,21,深位,是
1,1,outbound,2613,B6T0000000877,E3,13860.0,13933.44615384615,13947.49538461538,14.04923076923077,73.44615384614917,87.49538461538032,1,9,33,深位,是
1,1,inbound,IN0383,B6T0000001166,E3,13680.0,13919.396923076918,13933.44615384615,14.04923076923077,239.39692307691803,253.44615384614917,1,9,33,浅位,是
1,1,outbound,2614,B6T0000000877,E3,13860.0,13961.544615384611,13975.593846153843,14.04923076923077,101.54461538461146,115.5938461538426,2,9,33,浅位,是
1,1,inbound,IN0383,B6T0000001166,E3,13680.0,13947.49538461538,13961.544615384611,14.04923076923077,267.4953846153803,281.54461538461146,1,9,33,深位,是
1,1,outbound,2615,B6T0000000877,E3,13860.0,13989.643076923074,14003.692307692305,14.04923076923077,129.64307692307375,143.6923076923049,2,9,33,深位,是
1,1,inbound,IN0383,B6T0000001166,E3,13680.0,13975.593846153843,13989.643076923074,14.04923076923077,295.5938461538426,309.64307692307375,2,9,33,浅位,是
1,1,inbound,IN0089,B6T0000000247,E4,12540.0,14003.692307692305,14041.621538461535,37.929230769230784,1463.692307692305,1501.6215384615352,2,43,51,浅位,否
1,1,inbound,IN0089,B6T0000000247,E4,12540.0,14073.550769230766,14111.479999999996,37.929230769230784,1533.5507692307656,1571.479999999996,2,43,51,深位,否
1,1,inbound,IN0089,B6T0000000247,E4,12540.0,14143.409230769226,14181.467692307688,38.05846153846155,1603.4092307692263,1641.4676923076877,1,44,47,浅位,否
1,1,inbound,IN0089,B6T0000000247,E4,12540.0,14213.52615384615,14251.58461538461,38.05846153846155,1673.526153846149,1711.5846153846105,1,44,47,深位,否
1,1,inbound,IN0089,B6T0000000247,E4,12540.0,14283.643076923072,14321.701538461533,38.05846153846155,1743.643076923072,1781.7015384615333,2,44,47,浅位,否
1,1,inbound,IN0089,B6T0000000247,E4,12540.0,14353.759999999995,14391.818461538456,38.05846153846155,1813.7599999999948,1851.8184615384562,2,44,47,深位,否
1,1,inbound,IN0089,B6T0000000247,E4,12540.0,14423.876923076918,14461.966153846148,38.08923076923078,1883.8769230769176,1921.9661538461478,1,43,52,浅位,否
1,1,inbound,IN0089,B6T0000000247,E4,12540.0,14494.05538461538,14532.14461538461,38.08923076923078,1954.0553846153798,1992.14461538461,1,43,52,深位,否
1,1,inbound,IN0089,B6T0000000247,E4,12540.0,14564.233846153842,14602.323076923072,38.08923076923078,2024.233846153842,2062.323076923072,2,43,52,浅位,否
1,1,inbound,IN0089,B6T0000000247,E4,12540.0,14634.412307692304,14672.501538461534,38.08923076923078,2094.4123076923042,2132.5015384615344,2,43,52,深位,否
1,1,inbound,IN0089,B6T0000000247,E4,12540.0,14704.590769230766,14742.809230769228,38.218461538461554,2164.5907692307665,2202.8092307692277,1,44,48,浅位,否
1,1,inbound,IN0089,B6T0000000247,E4,12540.0,14775.027692307689,14813.24615384615,38.218461538461554,2235.027692307689,2273.2461538461503,1,44,48,深位,否
1,1,inbound,IN0089,B6T0000000247,E4,12540.0,14845.464615384612,14883.683076923073,38.218461538461554,2305.4646153846115,2343.683076923073,2,44,48,浅位,否
1,1,inbound,IN0089,B6T0000000247,E4,12540.0,14915.901538461534,14954.119999999995,38.218461538461554,2375.901538461534,2414.1199999999953,2,44,48,深位,否
1,1,inbound,IN0089,B6T0000000247,E4,12540.0,14986.338461538457,15024.587692307687,38.24923076923078,2446.3384615384566,2484.5876923076867,1,43,53,浅位,否
1,1,inbound,IN0089,B6T0000000247,E4,12540.0,15056.836923076919,15095.086153846149,38.24923076923078,2516.8369230769185,2555.0861538461486,1,43,53,深位,否
1,1,inbound,IN0089,B6T0000000247,E4,12540.0,15127.33538461538,15165.58461538461,38.24923076923078,2587.3353846153805,2625.5846153846105,2,43,53,浅位,否
1,1,outbound,3220,B6T0000001266,E3,15180.0,15236.083076923072,15274.332307692302,38.249230769230785,56.08307692307244,94.33230769230249,1,9,45,浅位,是
1,1,inbound,IN0089,B6T0000000247,E4,12540.0,15197.833846153842,15236.083076923072,38.24923076923078,2657.8338461538424,2696.0830769230724,2,43,53,深位,是
1,1,outbound,3222,B6T0000001266,E3,15180.0,15312.710769230765,15351.089230769227,38.37846153846155,132.71076923076544,171.08923076922656,1,9,45,深位,是
1,1,inbound,IN0089,B6T0000000247,E4,12540.0,15274.332307692304,15312.710769230765,38.37846153846155,2734.3323076923043,2772.7107692307654,1,44,49,浅位,是
1,1,outbound,3221,B6T0000001266,E3,15180.0,15389.467692307688,15427.846153846149,38.37846153846155,209.46769230768768,247.8461538461488,2,9,45,浅位,是
1,1,inbound,IN0089,B6T0000000247,E4,12540.0,15351.089230769227,15389.467692307688,38.37846153846155,2811.0892307692266,2849.4676923076877,1,44,49,深位,是
1,1,inbound,IN0089,B6T0000000247,E4,12540.0,15427.846153846149,15466.22461538461,38.37846153846155,2887.846153846149,2926.22461538461,2,44,49,浅位,否
1,1,inbound,IN0089,B6T0000000247,E4,12540.0,15498.603076923071,15536.981538461532,38.37846153846155,2958.603076923071,2996.981538461532,2,44,49,深位,否
1,1,inbound,IN0089,B6T0000000247,E4,12540.0,15569.359999999993,15607.769230769223,38.40923076923078,3029.3599999999933,3067.769230769223,1,43,54,浅位,否
1,1,outbound,3390,B6T0000001652,E1,16620.0,16620.0,16640.387692307693,20.387692307692312,0.0,20.387692307693214,1,1,44,浅位,否
1,1,outbound,3391,B6T0000001652,E1,16620.0,16640.387692307693,16660.775384615386,20.387692307692312,20.387692307693214,40.77538461538643,1,1,44,深位,否
1,1,outbound,1507,B6T0000000118,E4,17760.0,17760.0,17816.73846153846,56.738461538461564,0.0,56.738461538461706,1,43,10,浅位,否
1,1,outbound,1506,B6T0000000118,E4,17760.0,17816.73846153846,17873.476923076923,56.738461538461564,56.738461538461706,113.47692307692341,1,43,10,深位,否
1,1,outbound,1509,B6T0000000118,E4,17760.0,17873.476923076923,17930.215384615385,56.738461538461564,113.47692307692341,170.21538461538512,2,43,10,浅位,否
1,1,outbound,1510,B6T0000000118,E4,17760.0,17930.215384615385,17986.953846153847,56.738461538461564,170.21538461538512,226.95384615384683,2,43,10,深位,否
1,1,outbound,587,B6T0000001238,E3,19080.0,19403.24923076923,19424.363076923077,21.113846153846154,323.24923076923005,344.36307692307673,1,16,3,浅位,否
1,1,outbound,708,B6T0000000313,E4,19560.0,19785.427692307698,19843.003076923083,57.57538461538464,225.42769230769773,283.0030769230834,1,45,3,浅位,否
1,1,outbound,709,B6T0000000313,E4,19560.0,19843.003076923083,19900.57846153847,57.57538461538464,283.0030769230834,340.5784615384691,1,45,3,深位,否
1,1,outbound,710,B6T0000000313,E4,19560.0,19900.57846153847,19958.153846153855,57.57538461538464,340.5784615384691,398.15384615385483,2,45,3,浅位,否
1,1,outbound,712,B6T0000000313,E4,19560.0,19958.153846153855,20015.72923076924,57.57538461538464,398.15384615385483,455.72923076924053,2,45,3,深位,否
1,1,outbound,741,B6T0000000140,E4,25680.0,25680.0,25735.458461538463,55.45846153846156,0.0,55.45846153846287,1,43,6,浅位,否
1,1,outbound,742,B6T0000000140,E4,25680.0,25735.458461538463,25790.916923076926,55.45846153846156,55.45846153846287,110.91692307692574,1,43,6,深位,否
1,1,outbound,895,B6T0000000488,E3,25680.0,25790.916923076926,25809.938461538462,19.021538461538462,110.91692307692574,129.93846153846243,1,13,8,浅位,否
1,1,outbound,897,B6T0000000488,E3,25680.0,25809.938461538462,25828.96,19.021538461538462,129.93846153846243,148.95999999999913,1,13,8,深位,否
1,1,outbound,898,B6T0000000488,E3,25680.0,25828.96,25847.981538461536,19.021538461538462,148.95999999999913,167.98153846153582,2,13,8,浅位,否
1,1,outbound,896,B6T0000000488,E3,25680.0,25847.981538461536,25867.003076923073,19.021538461538462,167.98153846153582,187.0030769230725,2,13,8,深位,否
1,1,outbound,750,B6T0000000140,E4,25680.0,26481.821538461554,26540.6153846154,58.793846153846175,801.8215384615542,860.6153846154011,1,46,2,浅位,否
1,1,outbound,749,B6T0000000140,E4,25680.0,26540.6153846154,26599.409230769248,58.793846153846175,860.6153846154011,919.4092307692481,1,46,2,深位,否
1,1,outbound,747,B6T0000000140,E4,25680.0,26599.409230769248,26658.203076923095,58.793846153846175,919.4092307692481,978.2030769230951,2,46,2,浅位,否
1,1,outbound,733,B6T0000000140,E4,25680.0,26658.203076923095,26716.996923076942,58.793846153846175,978.2030769230951,1036.996923076942,2,46,2,深位,否
1,1,outbound,3059,B6T0000001131,E3,26820.0,26881.42769230769,26913.052307692305,31.62461538461538,61.42769230769045,93.05230769230548,1,17,32,浅位,否
1,1,inbound,IN0070,B6T0000000198,E4,29340.0,29340.0,29370.72923076923,30.72923076923078,0.0,30.729230769229616,1,43,6,浅位,否
1,1,inbound,IN0070,B6T0000000198,E4,29340.0,29395.458461538463,29426.187692307692,30.72923076923078,55.45846153846287,86.18769230769249,1,43,6,深位,否
1,1,inbound,IN0070,B6T0000000198,E4,29340.0,29450.916923076926,29482.286153846155,31.369230769230782,110.91692307692574,142.28615384615478,1,43,10,浅位,否
1,1,inbound,IN0070,B6T0000000198,E4,29340.0,29507.655384615387,29539.024615384616,31.369230769230782,167.65538461538745,199.02461538461648,1,43,10,深位,否
1,1,inbound,IN0070,B6T0000000198,E4,29340.0,29564.39384615385,29595.76307692308,31.369230769230782,224.39384615384915,255.7630769230782,2,43,10,浅位,否
1,1,inbound,IN0070,B6T0000000198,E4,29340.0,29621.13230769231,29652.50153846154,31.369230769230782,281.13230769231086,312.5015384615399,2,43,10,深位,否
1,1,inbound,IN0070,B6T0000000198,E4,29340.0,29677.870769230773,29709.658461538464,31.78769230769232,337.87076923077257,369.6584615384636,1,45,3,浅位,否
1,1,inbound,IN0070,B6T0000000198,E4,29340.0,29735.44615384616,29767.23384615385,31.78769230769232,395.44615384615827,427.2338461538493,1,45,3,深位,否
1,1,inbound,IN0070,B6T0000000198,E4,29340.0,29793.021538461544,29824.809230769235,31.78769230769232,453.02153846154397,484.809230769235,2,45,3,浅位,否
1,1,inbound,IN0070,B6T0000000198,E4,29340.0,29850.59692307693,29882.38461538462,31.78769230769232,510.59692307692967,542.3846153846207,2,45,3,深位,否
1,1,inbound,IN0070,B6T0000000198,E4,29340.0,29908.172307692315,29940.569230769237,32.39692307692309,568.1723076923154,600.569230769237,1,46,2,浅位,否
1,1,inbound,IN0070,B6T0000000198,E4,29340.0,29966.966153846162,29999.363076923084,32.39692307692309,626.9661538461623,659.363076923084,1,46,2,深位,否
1,1,inbound,IN0070,B6T0000000198,E4,29340.0,30025.76000000001,30058.15692307693,32.39692307692309,685.7600000000093,718.156923076931,2,46,2,浅位,否
1,1,inbound,IN0070,B6T0000000198,E4,29340.0,30084.553846153856,30116.950769230778,32.39692307692309,744.5538461538563,776.950769230778,2,46,2,深位,否
1,1,inbound,IN0070,B6T0000000198,E4,29340.0,30143.347692307703,30181.756923076933,38.40923076923078,803.3476923077033,841.7569230769332,1,43,54,深位,否
1,1,inbound,IN0070,B6T0000000198,E4,29340.0,30214.166153846163,30252.575384615393,38.40923076923078,874.1661538461631,912.575384615393,2,43,54,浅位,否
1,1,inbound,IN0070,B6T0000000198,E4,29340.0,30284.984615384623,30323.393846153853,38.40923076923078,944.9846153846229,983.3938461538528,2,43,54,深位,否
1,1,inbound,IN0070,B6T0000000198,E4,29340.0,30355.803076923083,30394.341538461544,38.53846153846155,1015.8030769230827,1054.3415384615437,1,44,50,浅位,否
1,1,inbound,IN0070,B6T0000000198,E4,29340.0,30426.880000000005,30465.418461538466,38.53846153846155,1086.8800000000047,1125.4184615384656,1,44,50,深位,否
1,1,inbound,IN0243,B6T0000000714,E3,30780.0,30780.0,30792.51076923077,12.510769230769231,0.0,12.510769230768346,1,13,8,浅位,否
1,1,inbound,IN0243,B6T0000000714,E3,30780.0,30799.021538461537,30811.532307692305,12.510769230769231,19.021538461536693,31.53230769230504,1,13,8,深位,否
1,1,inbound,IN0260,B6T0000000765,E3,32820.0,32820.0,32832.51076923077,12.510769230769231,0.0,12.510769230771984,2,13,8,浅位,否
1,1,inbound,IN0260,B6T0000000765,E3,32820.0,32839.02153846154,32851.53230769231,12.510769230769231,19.021538461536693,31.532307692308677,2,13,8,深位,否
1,1,inbound,IN0260,B6T0000000765,E3,32820.0,32858.04307692307,32871.6,13.556923076923077,38.043076923073386,51.599999999998545,1,16,3,浅位,否
1,1,inbound,IN0260,B6T0000000765,E3,32820.0,32879.15692307692,32893.20615384615,14.04923076923077,59.15692307691643,73.20615384614939,2,9,33,深位,否
1,1,inbound,IN0260,B6T0000000765,E3,32820.0,32901.255384615375,32917.224615384606,15.96923076923077,81.25538461537508,97.2246153846063,1,9,45,浅位,否
1,1,inbound,IN0260,B6T0000000765,E3,32820.0,32927.19384615384,32943.16307692307,15.96923076923077,107.19384615383751,123.16307692306873,1,9,45,深位,否
1,1,inbound,IN0627,B6T0000001866,E1,33300.0,33300.0,33308.35692307692,8.356923076923078,0.0,8.356923076920793,2,4,8,深位,否
1,1,inbound,IN0627,B6T0000001866,E1,33300.0,33310.71384615385,33319.19384615385,8.48,10.713846153848863,19.193846153852064,1,7,3,深位,否
1,1,inbound,IN0514,B6T0000001539,E1,33300.0,33321.67384615385,33330.35076923077,8.676923076923078,21.67384615384799,30.350769230768492,2,4,10,深位,否
1,1,inbound,IN0514,B6T0000001539,E1,33300.0,33333.027692307696,33341.876923076925,8.849230769230768,33.02769230769627,41.87692307692487,1,3,13,深位,否
1,1,inbound,IN0514,B6T0000001539,E1,33300.0,33344.72615384616,33353.673846153855,8.947692307692307,44.72615384616074,53.673846153855266,1,8,4,深位,否
1,1,outbound,3269,B6T0000001653,E1,33660.0,33660.0,33679.10769230769,19.10769230769231,0.0,19.10769230769074,1,1,40,浅位,否
1,1,outbound,3268,B6T0000001653,E1,33660.0,33679.10769230769,33698.21538461538,19.10769230769231,19.10769230769074,38.21538461538148,1,1,40,深位,否
1,1,outbound,3478,B6T0000000833,E3,37200.0,37200.0,37230.64,30.64,0.0,30.639999999999418,2,11,52,浅位,否
1,1,outbound,3479,B6T0000000833,E3,37200.0,37230.64,37261.28,30.64,30.639999999999418,61.279999999998836,2,11,52,深位,否
1,1,outbound,1970,B6T0000000437,E3,42600.0,42600.0,42622.86153846154,22.861538461538462,0.0,22.861538461540476,2,13,20,浅位,否
1,1,outbound,1971,B6T0000000437,E3,42600.0,42622.86153846154,42645.72307692308,22.861538461538462,22.861538461540476,45.72307692308095,2,13,20,深位,否
1,1,outbound,2100,B6T0000001607,E1,43440.0,43759.16307692307,43772.363076923066,13.2,319.16307692306873,332.3630769230658,1,7,10,浅位,否
1,1,outbound,2099,B6T0000001607,E1,43440.0,43772.363076923066,43785.56307692306,13.2,332.3630769230658,345.5630769230629,1,7,10,深位,否
1,1,outbound,2102,B6T0000001607,E1,43440.0,43785.56307692306,43798.76307692306,13.2,345.5630769230629,358.76307692306,2,7,10,浅位,否
1,1,outbound,2058,B6T0000000120,E4,43980.0,43980.0,44040.13538461539,60.13538461538465,0.0,60.13538461538701,1,45,11,浅位,否
1,1,outbound,2063,B6T0000000120,E4,43980.0,44040.13538461539,44100.270769230774,60.13538461538465,60.13538461538701,120.27076923077402,1,45,11,深位,否
1,1,outbound,2062,B6T0000000120,E4,43980.0,44100.270769230774,44160.40615384616,60.13538461538465,120.27076923077402,180.40615384616103,2,45,11,浅位,否
