入库批次,原材料编号,箱子类型,堆垛机编号,货架号,层(z),列(x),深浅位,到达时刻(s),开始时刻(s),完成时刻(s),流动时间(s),是否复合
IN0541,B6T0000001606,E1,1,2,2,1,深位,4500.0,4500.0,4511.464101615138,11.464101615138134,否
IN0541,B6T0000001606,E1,1,2,1,4,深位,4500.0,4516.081383121884,4528.081383121884,28.081383121883846,否
IN0541,B6T0000001606,E1,1,2,7,2,深位,4500.0,4533.2920850477385,4549.331614723413,49.33161472341271,否
IN0192,B6T0000000557,E3,1,2,11,6,深位,9960.0,9960.0,9981.097018512752,21.097018512751674,否
IN0192,B6T0000000557,E3,1,2,12,7,浅位,9960.0,9993.805462970658,10016.051416742892,56.05141674289189,否
IN0192,B6T0000000557,E3,1,2,12,7,深位,9960.0,10029.72855247937,10051.974506251603,91.97450625160309,否
IN0199,B6T0000000581,E3,1,2,15,5,深位,12600.0,12600.0,12623.513515265344,23.513515265343813,否
IN0199,B6T0000000581,E3,1,1,10,23,深位,12600.0,12638.113515265344,12663.086009831617,63.08600983161705,否
IN0199,B6T0000000581,E3,1,2,13,19,深位,12600.0,12679.324470929478,12705.704337782076,105.70433778207553,否
IN0199,B6T0000000581,E3,1,1,13,20,深位,12600.0,12723.023677829315,12749.630018704831,149.63001870483095,否
IN0199,B6T0000000581,E3,1,1,15,23,深位,12600.0,12767.151923276222,12795.784965633193,195.78496563319277,否
IN0199,B6T0000000581,E3,1,2,22,6,深位,12600.0,12814.964009869003,12843.731954871811,243.73195487181147,否
IN0199,B6T0000000581,E3,1,1,13,35,深位,12600.0,12862.447068665186,12891.946094152441,291.9460941524412,否
IN0199,B6T0000000581,E3,1,2,17,21,深位,12600.0,12912.05100396809,12941.636845013174,341.636845013174,否
IN0199,B6T0000000581,E3,1,1,11,45,深位,12600.0,12961.501072292609,12991.275198276317,391.2751982763166,否
IN0199,B6T0000000581,E3,1,1,9,64,浅位,12600.0,13011.601862274181,13042.96757843103,442.9675784310293,否
IN0199,B6T0000000581,E3,1,1,9,64,深位,12600.0,13064.429114994637,13095.794831151485,495.7948311514847,否
IN0199,B6T0000000581,E3,1,2,9,64,浅位,12600.0,13117.256367715092,13148.62208387194,548.62208387194,否
IN0199,B6T0000000581,E3,1,2,9,64,深位,12600.0,13170.083620435547,13201.449336592395,601.4493365923954,否
IN0199,B6T0000000581,E3,1,1,9,65,浅位,12600.0,13222.910873156003,13254.450502356329,654.4505023563288,否
IN0199,B6T0000000581,E3,1,1,9,65,深位,12600.0,13276.045372253271,13307.585001453597,707.5850014535972,否
IN0199,B6T0000000581,E3,1,2,9,65,浅位,12600.0,13329.17987135054,13360.719500550866,760.7195005508656,否
IN0199,B6T0000000581,E3,1,2,9,65,深位,12600.0,13382.314370447808,13413.853999648134,813.853999648134,否
IN0199,B6T0000000581,E3,1,1,9,66,浅位,12600.0,13435.448869545076,13467.16241178888,867.1624117888805,否
IN0199,B6T0000000581,E3,1,1,9,66,深位,12600.0,13488.890615019156,13520.60415726296,920.6041572629601,否
IN0199,B6T0000000581,E3,1,2,9,66,浅位,12600.0,13542.332360493236,13574.04590273704,974.0459027370398,否
IN0199,B6T0000000581,E3,1,2,9,66,深位,12600.0,13595.774105967315,13627.48764821112,1027.4876482111194,否
IN0199,B6T0000000581,E3,1,1,9,67,浅位,12600.0,13649.215851441395,13681.103306728677,1081.1033067286771,否
IN0199,B6T0000000581,E3,1,1,9,67,深位,12600.0,13702.964843292286,13734.852298579568,1134.852298579568,否
IN0199,B6T0000000581,E3,1,2,9,67,浅位,12600.0,13756.713835143177,13788.601290430459,1188.601290430459,否
IN0199,B6T0000000581,E3,1,2,9,67,深位,12600.0,13810.462826994068,13842.35028228135,1242.3502822813498,否
IN0199,B6T0000000581,E3,1,1,9,68,浅位,12600.0,13864.211818844959,13896.273187175719,1296.2731871757187,是
IN0199,B6T0000000581,E3,1,1,9,33,浅位,12600.0,13932.830599087292,13958.805005754606,1358.805005754606,是
IN0199,B6T0000000581,E3,1,1,9,33,深位,12600.0,13984.779412421922,14010.753819089236,1410.7538190892355,是
IN0199,B6T0000000581,E3,1,2,9,33,浅位,12600.0,14036.728225756551,14062.702632423865,1462.702632423865,是
IN0199,B6T0000000581,E3,1,2,9,33,深位,12600.0,14088.67703909118,14114.651445758494,1514.6514457584944,否
IN0199,B6T0000000581,E3,1,1,9,68,深位,12600.0,14131.855835051703,14163.917203382463,1563.9172033824634,否
IN0199,B6T0000000581,E3,1,2,9,68,浅位,12600.0,14185.912073279405,14217.973441610166,1617.9734416101655,否
IN0199,B6T0000000581,E3,1,2,9,68,深位,12600.0,14239.968311507108,14272.029679837868,1672.0296798378677,否
IN0199,B6T0000000581,E3,1,1,10,63,浅位,12600.0,14294.02454973481,14326.111902993587,1726.1119029935871,否
IN0199,B6T0000000581,E3,1,1,10,63,深位,12600.0,14348.171319855637,14380.258673114415,1780.2586731144147,否
IN0199,B6T0000000581,E3,1,2,10,63,浅位,12600.0,14402.318089976465,14434.405443235242,1834.4054432352423,否
IN0199,B6T0000000581,E3,1,2,10,63,深位,12600.0,14456.464860097292,14488.55221335607,1888.5522133560698,否
