订单号,原材料编号,箱子类型,堆垛机编号,货架号,层(z),列(x),深浅位,到达时刻(s),开始时刻(s),完成时刻(s),操作时间(s),等待时间(s),流动时间(s),是否复合
3639,B6T0000001187,E3,1,1,31,37,浅位,240.0,240.0,312.2751544179829,72.27515441798286,0.0,72.27515441798289,否
3638,B6T0000001187,E3,1,1,31,37,深位,240.0,312.2751544179829,384.5503088359658,72.27515441798286,72.27515441798289,144.55030883596578,否
3036,B6T0000001703,E1,1,1,2,31,浅位,3300.0,3300.0,3333.387977143935,33.387977143934975,0.0,33.38797714393513,否
3035,B6T0000001703,E1,1,1,2,31,深位,3300.0,3333.387977143935,3366.7759542878703,33.387977143934975,33.38797714393513,66.77595428787026,否
3034,B6T0000001703,E1,1,2,2,31,浅位,3300.0,3366.7759542878703,3400.1639314318054,33.387977143934975,66.77595428787026,100.1639314318054,否
2525,B6T0000001776,E1,1,1,7,17,浅位,7500.0,7631.894908976836,7666.6156989223855,34.720789945549505,131.89490897683572,166.6156989223855,否
483,B6T0000001101,E3,1,2,12,7,浅位,9300.0,9300.0,9335.923089508711,35.92308950871136,0.0,35.9230895087112,否
484,B6T0000001101,E3,1,2,12,7,深位,9300.0,9335.923089508711,9371.846179017422,35.92308950871136,35.9230895087112,71.8461790174224,否
2612,B6T0000000877,E3,1,1,9,33,浅位,13860.0,13896.273187175719,13932.830599087292,36.557411911572984,36.273187175718704,72.83059908729228,是
2613,B6T0000000877,E3,1,1,9,33,深位,13860.0,13958.805005754606,13984.77941242192,25.974406667314625,98.8050057546061,124.77941242191991,是
2614,B6T0000000877,E3,1,2,9,33,浅位,13860.0,14010.753819089236,14036.72822575655,25.974406667314625,150.75381908923555,176.72822575654936,是
2615,B6T0000000877,E3,1,2,9,33,深位,13860.0,14062.702632423865,14088.677039091179,25.974406667314625,202.702632423865,228.6770390911788,是
3220,B6T0000001266,E3,1,1,9,45,浅位,15180.0,15255.021632073544,15294.546547340782,39.524915267238896,75.02163207354351,114.54654734078213,是
3222,B6T0000001266,E3,1,1,9,45,深位,15180.0,15322.607915671542,15350.669284002302,28.06136833076031,142.6079156715423,170.66928400230245,是
3221,B6T0000001266,E3,1,2,9,45,浅位,15180.0,15378.730652333063,15406.792020663823,28.06136833076031,198.7306523330626,226.79202066382277,是
3390,B6T0000001652,E1,1,1,1,44,浅位,16620.0,16653.33340425107,16690.90054397339,37.56713972232074,33.333404251068714,70.90054397338827,是
3391,B6T0000001652,E1,1,1,1,44,深位,16620.0,16723.979017783182,16761.5461575055,37.56713972232074,103.97901778318192,141.54615750550147,是
1507,B6T0000000118,E4,1,1,43,10,浅位,17760.0,17760.0,17836.01934060431,76.01934060431192,0.0,76.01934060431086,否
1506,B6T0000000118,E4,1,1,43,10,深位,17760.0,17836.01934060431,17912.03868120862,76.01934060431192,76.01934060431086,152.0386812086217,否
1509,B6T0000000118,E4,1,2,43,10,浅位,17760.0,17912.03868120862,17988.058021812933,76.01934060431192,152.0386812086217,228.05802181293257,否
1510,B6T0000000118,E4,1,2,43,10,深位,17760.0,17988.058021812933,18064.077362417243,76.01934060431192,228.05802181293257,304.0773624172434,否
587,B6T0000001238,E3,1,1,17,2,浅位,19080.0,19675.5054091895,19712.95101476422,37.44560557471998,595.5054091894999,632.9510147642213,否
708,B6T0000000313,E4,1,1,45,3,浅位,19560.0,19968.08291091217,20041.740801503125,73.65789059095431,408.0829109121696,481.7408015031251,否
709,B6T0000000313,E4,1,1,45,3,深位,19560.0,20041.740801503125,20115.39869209408,73.65789059095431,481.7408015031251,555.3986920940806,否
710,B6T0000000313,E4,1,2,45,3,浅位,19560.0,20115.39869209408,20189.056582685036,73.65789059095431,555.3986920940806,629.0565826850361,否
712,B6T0000000313,E4,1,2,45,3,深位,19560.0,20189.056582685036,20262.71447327599,73.65789059095431,629.0565826850361,702.7144732759916,否
741,B6T0000000140,E4,1,1,43,6,浅位,25680.0,25680.0,25753.31869098009,73.31869098009047,0.0,73.31869098008974,否
742,B6T0000000140,E4,1,1,43,6,深位,25680.0,25753.31869098009,25826.63738196018,73.31869098009047,73.31869098008974,146.63738196017948,否
895,B6T0000000488,E3,1,1,13,8,浅位,25680.0,25903.591717236603,25941.492189279274,37.90047204266949,223.59171723660256,261.4921892792736,否
897,B6T0000000488,E3,1,1,13,8,深位,25680.0,25941.492189279274,25979.392661321945,37.90047204266949,261.4921892792736,299.3926613219446,否
898,B6T0000000488,E3,1,2,13,8,浅位,25680.0,25979.392661321945,26017.293133364616,37.90047204266949,299.3926613219446,337.29313336461564,否
896,B6T0000000488,E3,1,2,13,8,深位,25680.0,26017.293133364616,26055.193605407287,37.90047204266949,337.29313336461564,375.19360540728667,否
750,B6T0000000140,E4,1,1,46,2,浅位,25680.0,26730.769913984823,26804.752301168737,73.98238718391542,1050.7699139848228,1124.7523011687372,否
749,B6T0000000140,E4,1,1,46,2,深位,25680.0,26804.752301168737,26878.73468835265,73.98238718391542,1124.7523011687372,1198.7346883526516,否
