堆垛机编号,巷道号,任务类型,订单号,原材料编号,箱子类型,到达时刻(s),开始时刻(s),完成时刻(s),操作时间(s),等待时间(s),流动时间(s),货架号,层(z),列(x),深浅位,是否复合
1,1,outbound,3639,B6T0000001187,E3,240.0,240.0,312.2751544179829,72.27515441798286,0.0,72.27515441798289,1,31,37,浅位,否
1,1,outbound,3638,B6T0000001187,E3,240.0,312.2751544179829,384.5503088359658,72.27515441798286,72.27515441798289,144.55030883596578,1,31,37,深位,否
1,1,outbound,3036,B6T0000001703,E1,3300.0,3300.0,3333.387977143935,33.387977143934975,0.0,33.38797714393513,1,2,31,浅位,否
1,1,outbound,3035,B6T0000001703,E1,3300.0,3333.387977143935,3366.7759542878703,33.387977143934975,33.38797714393513,66.77595428787026,1,2,31,深位,否
1,1,outbound,3034,B6T0000001703,E1,3300.0,3366.7759542878703,3400.1639314318054,33.387977143934975,66.77595428787026,100.1639314318054,2,2,31,浅位,否
1,1,inbound,IN0541,B6T0000001606,E1,4500.0,4500.0,4511.464101615138,11.464101615137755,0.0,11.464101615138134,2,2,1,深位,否
1,1,inbound,IN0541,B6T0000001606,E1,4500.0,4516.081383121884,4528.081383121884,12.0,16.081383121883846,28.081383121883846,2,1,4,深位,否
1,1,inbound,IN0541,B6T0000001606,E1,4500.0,4533.2920850477385,4549.331614723413,16.039529675674167,33.29208504773851,49.33161472341271,2,7,2,深位,否
1,1,outbound,2525,B6T0000001776,E1,7500.0,7631.894908976836,7666.6156989223855,34.720789945549505,131.89490897683572,166.6156989223855,1,7,17,浅位,否
1,1,outbound,483,B6T0000001101,E3,9300.0,9300.0,9335.923089508711,35.92308950871136,0.0,35.9230895087112,2,12,7,浅位,否
1,1,outbound,484,B6T0000001101,E3,9300.0,9335.923089508711,9371.846179017422,35.92308950871136,35.9230895087112,71.8461790174224,2,12,7,深位,否
1,1,inbound,IN0192,B6T0000000557,E3,9960.0,9960.0,9981.097018512752,21.097018512751927,0.0,21.097018512751674,2,11,6,深位,否
1,1,inbound,IN0192,B6T0000000557,E3,9960.0,9993.805462970658,10016.051416742892,22.245953772232504,33.80546297065848,56.05141674289189,2,12,7,浅位,否
1,1,inbound,IN0192,B6T0000000557,E3,9960.0,10029.72855247937,10051.974506251603,22.245953772232504,69.72855247936968,91.97450625160309,2,12,7,深位,否
1,1,inbound,IN0199,B6T0000000581,E3,12600.0,12600.0,12623.513515265344,23.513515265344402,0.0,23.513515265343813,2,15,5,深位,否
1,1,inbound,IN0199,B6T0000000581,E3,12600.0,12638.113515265344,12663.086009831617,24.972494566272296,38.113515265344176,63.08600983161705,1,10,23,深位,否
1,1,inbound,IN0199,B6T0000000581,E3,12600.0,12679.324470929478,12705.704337782076,26.37986685259859,79.32447092947768,105.70433778207553,2,13,19,深位,否
1,1,inbound,IN0199,B6T0000000581,E3,12600.0,12723.023677829315,12749.630018704831,26.606340875516402,123.02367782931469,149.63001870483095,1,13,20,深位,否
1,1,inbound,IN0199,B6T0000000581,E3,12600.0,12767.151923276222,12795.784965633193,28.633042356970265,167.15192327622208,195.78496563319277,1,15,23,深位,否
1,1,inbound,IN0199,B6T0000000581,E3,12600.0,12814.964009869003,12843.731954871811,28.76794500280774,214.96400986900335,243.73195487181147,2,22,6,深位,否
1,1,inbound,IN0199,B6T0000000581,E3,12600.0,12862.447068665186,12891.946094152441,29.499025487256368,262.4470686651857,291.9460941524412,1,13,35,深位,否
1,1,inbound,IN0199,B6T0000000581,E3,12600.0,12912.05100396809,12941.636845013174,29.585841045084095,312.0510039680903,341.636845013174,2,17,21,深位,否
1,1,inbound,IN0199,B6T0000000581,E3,12600.0,12961.501072292609,12991.275198276317,29.774125983707307,361.501072292609,391.2751982763166,1,11,45,深位,否
1,1,inbound,IN0199,B6T0000000581,E3,12600.0,13011.601862274181,13042.96757843103,31.365716156847263,411.60186227418126,442.9675784310293,1,9,64,浅位,否
1,1,inbound,IN0199,B6T0000000581,E3,12600.0,13064.429114994637,13095.794831151485,31.365716156847263,464.4291149946366,495.7948311514847,1,9,64,深位,否
1,1,inbound,IN0199,B6T0000000581,E3,12600.0,13117.256367715092,13148.62208387194,31.365716156847263,517.256367715092,548.62208387194,2,9,64,浅位,否
1,1,inbound,IN0199,B6T0000000581,E3,12600.0,13170.083620435547,13201.449336592395,31.365716156847263,570.0836204355473,601.4493365923954,2,9,64,深位,否
1,1,inbound,IN0199,B6T0000000581,E3,12600.0,13222.910873156003,13254.450502356329,31.53962920032553,622.9108731560027,654.4505023563288,1,9,65,浅位,否
1,1,inbound,IN0199,B6T0000000581,E3,12600.0,13276.045372253271,13307.585001453597,31.53962920032553,676.0453722532711,707.5850014535972,1,9,65,深位,否
